audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.486,0.938,1,-6.652,1,0.0704,0.0000179,0.000103,0.361,0.525,125.816,audio_features,5Ds35L9KpUDKgSxZ6whuoQ,spotify:track:5Ds35L9KpUDKgSxZ6whuoQ,https://api.spotify.com/v1/tracks/5Ds35L9KpUDKgSxZ6whuoQ,https://api.spotify.com/v1/audio-analysis/5Ds35L9KpUDKgSxZ6whuoQ,152560,4
0.497,0.966,10,-4.843,1,0.0516,0.0000155,0.246,0.231,0.541,112.042,audio_features,7boH85nh2V0H59Lp9AJ0Wk,spotify:track:7boH85nh2V0H59Lp9AJ0Wk,https://api.spotify.com/v1/tracks/7boH85nh2V0H59Lp9AJ0Wk,https://api.spotify.com/v1/audio-analysis/7boH85nh2V0H59Lp9AJ0Wk,246253,3
0.406,0.81,1,-6.127,1,0.0343,0.0000104,0.00000134,0.325,0.638,128.282,audio_features,7tUtvGeKB2V5W5ms6uBlyC,spotify:track:7tUtvGeKB2V5W5ms6uBlyC,https://api.spotify.com/v1/tracks/7tUtvGeKB2V5W5ms6uBlyC,https://api.spotify.com/v1/audio-analysis/7tUtvGeKB2V5W5ms6uBlyC,205493,4
0.462,0.943,1,-5.343,1,0.245,0.0364,0.00148,0.0871,0.218,95.483,audio_features,2nMN06ZdkOyGrhSDt9CKah,spotify:track:2nMN06ZdkOyGrhSDt9CKah,https://api.spotify.com/v1/tracks/2nMN06ZdkOyGrhSDt9CKah,https://api.spotify.com/v1/audio-analysis/2nMN06ZdkOyGrhSDt9CKah,308093,4
0.511,0.867,2,-7.411,1,0.049,0.0278,0.113,0.0855,0.0722,134.472,audio_features,59FwEQpuagQZQVP71h9OIq,spotify:track:59FwEQpuagQZQVP71h9OIq,https://api.spotify.com/v1/tracks/59FwEQpuagQZQVP71h9OIq,https://api.spotify.com/v1/audio-analysis/59FwEQpuagQZQVP71h9OIq,178640,1
0.374,0.948,7,-5.871,1,0.199,0.000791,0.13,0.377,0.276,125.312,audio_features,4lxgPcPYoakTKSyOYy1GgQ,spotify:track:4lxgPcPYoakTKSyOYy1GgQ,https://api.spotify.com/v1/tracks/4lxgPcPYoakTKSyOYy1GgQ,https://api.spotify.com/v1/audio-analysis/4lxgPcPYoakTKSyOYy1GgQ,287400,4
0.714,0.869,11,-6.294,0,0.0565,0.00597,0.243,0.0959,0.439,98.511,audio_features,5c6gkexa2eWCCBmEb0zXCZ,spotify:track:5c6gkexa2eWCCBmEb0zXCZ,https://api.spotify.com/v1/tracks/5c6gkexa2eWCCBmEb0zXCZ,https://api.spotify.com/v1/audio-analysis/5c6gkexa2eWCCBmEb0zXCZ,286933,4
0.432,0.415,2,-9.755,1,0.0357,0.00849,0.927,0.107,0.189,144,audio_features,3eMYc6FK9XvyauIaxcJtRS,spotify:track:3eMYc6FK9XvyauIaxcJtRS,https://api.spotify.com/v1/tracks/3eMYc6FK9XvyauIaxcJtRS,https://api.spotify.com/v1/audio-analysis/3eMYc6FK9XvyauIaxcJtRS,270400,4
0.348,0.686,8,-12.748,0,0.0319,0.0233,0.00256,0.145,0.635,178.466,audio_features,0cG9ocYqYOIVtgiWTmTe3g,spotify:track:0cG9ocYqYOIVtgiWTmTe3g,https://api.spotify.com/v1/tracks/0cG9ocYqYOIVtgiWTmTe3g,https://api.spotify.com/v1/audio-analysis/0cG9ocYqYOIVtgiWTmTe3g,295373,3
0.435,0.979,11,-5.154,1,0.105,0.0000596,0.000265,0.128,0.611,99.956,audio_features,6jAbHOQO1qr61CnJW0bq9f,spotify:track:6jAbHOQO1qr61CnJW0bq9f,https://api.spotify.com/v1/tracks/6jAbHOQO1qr61CnJW0bq9f,https://api.spotify.com/v1/audio-analysis/6jAbHOQO1qr61CnJW0bq9f,199827,4
0.431,0.906,9,-6.13,1,0.0945,0.0001,0.0001,0.123,0.53,125.459,audio_features,6DoXuH326aAYEN8CnlLmhP,spotify:track:6DoXuH326aAYEN8CnlLmhP,https://api.spotify.com/v1/tracks/6DoXuH326aAYEN8CnlLmhP,https://api.spotify.com/v1/audio-analysis/6DoXuH326aAYEN8CnlLmhP,223893,4
0.326,0.894,9,-9.558,0,0.0443,0.00035,0,0.435,0.664,165.193,audio_features,0KEhlgtlk0HuqBIqfGCGdF,spotify:track:0KEhlgtlk0HuqBIqfGCGdF,https://api.spotify.com/v1/tracks/0KEhlgtlk0HuqBIqfGCGdF,https://api.spotify.com/v1/audio-analysis/0KEhlgtlk0HuqBIqfGCGdF,227200,4
0.271,0.742,2,-12.669,1,0.0529,0.000285,0.26,0.0601,0.148,91.844,audio_features,6lQE6LF3MU63Z6VyhPxaV3,spotify:track:6lQE6LF3MU63Z6VyhPxaV3,https://api.spotify.com/v1/tracks/6lQE6LF3MU63Z6VyhPxaV3,https://api.spotify.com/v1/audio-analysis/6lQE6LF3MU63Z6VyhPxaV3,309107,4
0.354,0.73,2,-7.581,1,0.0791,0.0251,0,0.106,0.383,148.08,audio_features,5tFzUj1jV09bo4wBQWSbDl,spotify:track:5tFzUj1jV09bo4wBQWSbDl,https://api.spotify.com/v1/tracks/5tFzUj1jV09bo4wBQWSbDl,https://api.spotify.com/v1/audio-analysis/5tFzUj1jV09bo4wBQWSbDl,223907,4
0.574,0.862,7,-6.449,1,0.06,0.000971,0,0.0923,0.594,122.98,audio_features,1BYQ2ilaYWZsRtRgDGQLYI,spotify:track:1BYQ2ilaYWZsRtRgDGQLYI,https://api.spotify.com/v1/tracks/1BYQ2ilaYWZsRtRgDGQLYI,https://api.spotify.com/v1/audio-analysis/1BYQ2ilaYWZsRtRgDGQLYI,310080,4
0.591,0.638,7,-6.958,1,0.029,0.00619,0.00000469,0.113,0.348,131.113,audio_features,5Bb88WRO4906ngHGMvkv4P,spotify:track:5Bb88WRO4906ngHGMvkv4P,https://api.spotify.com/v1/tracks/5Bb88WRO4906ngHGMvkv4P,https://api.spotify.com/v1/audio-analysis/5Bb88WRO4906ngHGMvkv4P,285547,4
0.376,0.851,0,-3.535,1,0.0459,0.11,0.000124,0.277,0.487,173.119,audio_features,4nJlfdLIucLBkXEJPsSCSp,spotify:track:4nJlfdLIucLBkXEJPsSCSp,https://api.spotify.com/v1/tracks/4nJlfdLIucLBkXEJPsSCSp,https://api.spotify.com/v1/audio-analysis/4nJlfdLIucLBkXEJPsSCSp,249533,4
0.526,0.918,9,-10.879,1,0.0722,0.00213,0.0751,0.25,0.318,166.669,audio_features,0D7aPFnFa9qIVFpOJ1ZBTG,spotify:track:0D7aPFnFa9qIVFpOJ1ZBTG,https://api.spotify.com/v1/tracks/0D7aPFnFa9qIVFpOJ1ZBTG,https://api.spotify.com/v1/audio-analysis/0D7aPFnFa9qIVFpOJ1ZBTG,289000,4
0.166,0.971,7,-5.231,1,0.119,0.0000384,0.0000615,0.21,0.434,202.234,audio_features,7qzFXUvBk7lELXuxVREypV,spotify:track:7qzFXUvBk7lELXuxVREypV,https://api.spotify.com/v1/tracks/7qzFXUvBk7lELXuxVREypV,https://api.spotify.com/v1/audio-analysis/7qzFXUvBk7lELXuxVREypV,247093,4
