audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.742,0.798,9,-8.263,1,0.0558,0.00346,0.00131,0.259,0.928,128.967,audio_features,2yWyFT6bW1Rd9cjVvYi4v8,spotify:track:2yWyFT6bW1Rd9cjVvYi4v8,https://api.spotify.com/v1/tracks/2yWyFT6bW1Rd9cjVvYi4v8,https://api.spotify.com/v1/audio-analysis/2yWyFT6bW1Rd9cjVvYi4v8,360427,4
0.843,0.412,7,-10.551,0,0.044,0.0097,0.00835,0.116,0.644,124.452,audio_features,66yhlgEIsoUY4jIC9eeWcc,spotify:track:66yhlgEIsoUY4jIC9eeWcc,https://api.spotify.com/v1/tracks/66yhlgEIsoUY4jIC9eeWcc,https://api.spotify.com/v1/audio-analysis/66yhlgEIsoUY4jIC9eeWcc,192653,4
0.703,0.719,1,-6.625,0,0.0461,0.00889,0.0962,0.0695,0.462,112.009,audio_features,4OSEE9iEHADmTSCpxl87GJ,spotify:track:4OSEE9iEHADmTSCpxl87GJ,https://api.spotify.com/v1/tracks/4OSEE9iEHADmTSCpxl87GJ,https://api.spotify.com/v1/audio-analysis/4OSEE9iEHADmTSCpxl87GJ,465333,4
0.823,0.814,6,-8.723,1,0.0391,0.0146,0.359,0.138,0.488,133.01,audio_features,5gC2aJwuSzGe3IJVlk9r2O,spotify:track:5gC2aJwuSzGe3IJVlk9r2O,https://api.spotify.com/v1/tracks/5gC2aJwuSzGe3IJVlk9r2O,https://api.spotify.com/v1/audio-analysis/5gC2aJwuSzGe3IJVlk9r2O,439994,4
0.586,0.625,7,-5.222,0,0.0439,0.598,0.000144,0.671,0.505,104.02,audio_features,5NQBZ9RAdV5Q6N7ORTI3RX,spotify:track:5NQBZ9RAdV5Q6N7ORTI3RX,https://api.spotify.com/v1/tracks/5NQBZ9RAdV5Q6N7ORTI3RX,https://api.spotify.com/v1/audio-analysis/5NQBZ9RAdV5Q6N7ORTI3RX,226024,4
0.748,0.845,5,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925,audio_features,5mAh5J4w6BEZkajB1M7XrB,spotify:track:5mAh5J4w6BEZkajB1M7XrB,https://api.spotify.com/v1/tracks/5mAh5J4w6BEZkajB1M7XrB,https://api.spotify.com/v1/audio-analysis/5mAh5J4w6BEZkajB1M7XrB,207067,4
0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993,audio_features,08fMRujpKhEDTanKN9l2ud,spotify:track:08fMRujpKhEDTanKN9l2ud,https://api.spotify.com/v1/tracks/08fMRujpKhEDTanKN9l2ud,https://api.spotify.com/v1/audio-analysis/08fMRujpKhEDTanKN9l2ud,452907,4
0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,audio_features,0OSAJEA0ekX6pr2nuiPzX7,spotify:track:0OSAJEA0ekX6pr2nuiPzX7,https://api.spotify.com/v1/tracks/0OSAJEA0ekX6pr2nuiPzX7,https://api.spotify.com/v1/audio-analysis/0OSAJEA0ekX6pr2nuiPzX7,253587,4
0.783,0.678,10,-7.718,1,0.0725,0.0274,0.0366,0.0671,0.777,129.955,audio_features,4xKSVV3RjBs9vPyrHpuslU,spotify:track:4xKSVV3RjBs9vPyrHpuslU,https://api.spotify.com/v1/tracks/4xKSVV3RjBs9vPyrHpuslU,https://api.spotify.com/v1/audio-analysis/4xKSVV3RjBs9vPyrHpuslU,486267,4
0.673,0.968,3,-4.108,1,0.0375,0.000799,0.00297,0.304,0.978,129.999,audio_features,0VWrmakxww3ZMI7JixXHdB,spotify:track:0VWrmakxww3ZMI7JixXHdB,https://api.spotify.com/v1/tracks/0VWrmakxww3ZMI7JixXHdB,https://api.spotify.com/v1/audio-analysis/0VWrmakxww3ZMI7JixXHdB,210155,4
