audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.397,0.385,2,-11.84,1,0.0423,0.254,0.00000622,0.0727,0.189,125.717,audio_features,62pzAgSwvQVqgyzopdHgz6,spotify:track:62pzAgSwvQVqgyzopdHgz6,https://api.spotify.com/v1/tracks/62pzAgSwvQVqgyzopdHgz6,https://api.spotify.com/v1/audio-analysis/62pzAgSwvQVqgyzopdHgz6,182440,4
0.658,0.408,10,-14.297,0,0.0259,0.0271,0.0219,0.0889,0.371,105.671,audio_features,5g3IlBjBRVLmKrU1ZmWAPU,spotify:track:5g3IlBjBRVLmKrU1ZmWAPU,https://api.spotify.com/v1/tracks/5g3IlBjBRVLmKrU1ZmWAPU,https://api.spotify.com/v1/audio-analysis/5g3IlBjBRVLmKrU1ZmWAPU,129440,4
0.367,0.326,3,-13.025,0,0.0395,0.126,0.000599,0.12,0.333,175.109,audio_features,40VSbBSYbPN10vJYeZq4tm,spotify:track:40VSbBSYbPN10vJYeZq4tm,https://api.spotify.com/v1/tracks/40VSbBSYbPN10vJYeZq4tm,https://api.spotify.com/v1/audio-analysis/40VSbBSYbPN10vJYeZq4tm,154280,4
0.343,0.559,0,-9.837,1,0.0371,0.0444,0.0000296,0.1,0.151,140.365,audio_features,4FcEx7SpUp5ZBMZDF3W2ga,spotify:track:4FcEx7SpUp5ZBMZDF3W2ga,https://api.spotify.com/v1/tracks/4FcEx7SpUp5ZBMZDF3W2ga,https://api.spotify.com/v1/audio-analysis/4FcEx7SpUp5ZBMZDF3W2ga,355040,4
0.273,0.776,9,-9.123,1,0.0715,0.224,0.00000668,0.325,0.219,142.459,audio_features,4UNuy0MOP8XgYVWebWcojU,spotify:track:4UNuy0MOP8XgYVWebWcojU,https://api.spotify.com/v1/tracks/4UNuy0MOP8XgYVWebWcojU,https://api.spotify.com/v1/audio-analysis/4UNuy0MOP8XgYVWebWcojU,306000,4
0.572,0.518,3,-11.219,0,0.0299,0.788,0.0000143,0.176,0.513,76.812,audio_features,2ydZpUmWZ2k3cFO7IyL00C,spotify:track:2ydZpUmWZ2k3cFO7IyL00C,https://api.spotify.com/v1/tracks/2ydZpUmWZ2k3cFO7IyL00C,https://api.spotify.com/v1/audio-analysis/2ydZpUmWZ2k3cFO7IyL00C,200227,4
0.477,0.942,9,-4.316,1,0.0348,0.0298,0,0.447,0.534,95.935,audio_features,6NrJJ3JkWDgebtzDFLMFjI,spotify:track:6NrJJ3JkWDgebtzDFLMFjI,https://api.spotify.com/v1/tracks/6NrJJ3JkWDgebtzDFLMFjI,https://api.spotify.com/v1/audio-analysis/6NrJJ3JkWDgebtzDFLMFjI,254907,4
0.578,0.734,0,-10.028,1,0.0318,0.0000557,0.000131,0.318,0.755,127.765,audio_features,7fmwCGS5Sj9mceTWlCUJMA,spotify:track:7fmwCGS5Sj9mceTWlCUJMA,https://api.spotify.com/v1/tracks/7fmwCGS5Sj9mceTWlCUJMA,https://api.spotify.com/v1/audio-analysis/7fmwCGS5Sj9mceTWlCUJMA,239160,4
0.409,0.255,9,-9.769,0,0.0348,0.205,0,0.22,0.261,124.783,audio_features,3ZFjiuMkZESFKUR7Y4rRmT,spotify:track:3ZFjiuMkZESFKUR7Y4rRmT,https://api.spotify.com/v1/tracks/3ZFjiuMkZESFKUR7Y4rRmT,https://api.spotify.com/v1/audio-analysis/3ZFjiuMkZESFKUR7Y4rRmT,265840,3
0.479,0.793,7,-11.515,0,0.0481,0.031,0.398,0.0822,0.403,112.13,audio_features,21BxZ4jL908jasBK4t1HqU,spotify:track:21BxZ4jL908jasBK4t1HqU,https://api.spotify.com/v1/tracks/21BxZ4jL908jasBK4t1HqU,https://api.spotify.com/v1/audio-analysis/21BxZ4jL908jasBK4t1HqU,410360,4
0.387,0.459,0,-10.364,0,0.0301,0.283,0.0119,0.437,0.196,121.152,audio_features,3pzvnshVv1OAQonlJlM0To,spotify:track:3pzvnshVv1OAQonlJlM0To,https://api.spotify.com/v1/tracks/3pzvnshVv1OAQonlJlM0To,https://api.spotify.com/v1/audio-analysis/3pzvnshVv1OAQonlJlM0To,279707,3
