audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.448,0.776,2,-8.144,0,0.0326,0.485,0.368,0.696,0.611,110.643,audio_features,2AHfLaTj7aMvHIkTXNyHrs,spotify:track:2AHfLaTj7aMvHIkTXNyHrs,https://api.spotify.com/v1/tracks/2AHfLaTj7aMvHIkTXNyHrs,https://api.spotify.com/v1/audio-analysis/2AHfLaTj7aMvHIkTXNyHrs,153881,4
0.53,0.675,5,-9.644,0,0.0692,0.166,0.00308,0.143,0.59,121.785,audio_features,5O2qe7mtVcTw6DK3BhJ0gC,spotify:track:5O2qe7mtVcTw6DK3BhJ0gC,https://api.spotify.com/v1/tracks/5O2qe7mtVcTw6DK3BhJ0gC,https://api.spotify.com/v1/audio-analysis/5O2qe7mtVcTw6DK3BhJ0gC,212029,4
0.359,0.56,11,-10.613,1,0.0445,0.441,0,0.113,0.313,100.898,audio_features,2KkeVGyymQFqU67ve8vSik,spotify:track:2KkeVGyymQFqU67ve8vSik,https://api.spotify.com/v1/tracks/2KkeVGyymQFqU67ve8vSik,https://api.spotify.com/v1/audio-analysis/2KkeVGyymQFqU67ve8vSik,140240,4
0.699,0.384,7,-13.691,1,0.044,0.148,0,0.121,0.584,109.573,audio_features,6nnSkEpzo8PmHsOlSopoO6,spotify:track:6nnSkEpzo8PmHsOlSopoO6,https://api.spotify.com/v1/tracks/6nnSkEpzo8PmHsOlSopoO6,https://api.spotify.com/v1/audio-analysis/6nnSkEpzo8PmHsOlSopoO6,185481,4
0.577,0.574,2,-7.872,1,0.0362,0.696,0.0000012,0.112,0.504,123.884,audio_features,4fhKDGayRaNSTV3h4413Ln,spotify:track:4fhKDGayRaNSTV3h4413Ln,https://api.spotify.com/v1/tracks/4fhKDGayRaNSTV3h4413Ln,https://api.spotify.com/v1/audio-analysis/4fhKDGayRaNSTV3h4413Ln,165427,4
0.426,0.836,3,-3.217,1,0.0508,0.0512,0,0.112,0.638,128.116,audio_features,4gWYbRpDoDHagMXuaDiU1v,spotify:track:4gWYbRpDoDHagMXuaDiU1v,https://api.spotify.com/v1/tracks/4gWYbRpDoDHagMXuaDiU1v,https://api.spotify.com/v1/audio-analysis/4gWYbRpDoDHagMXuaDiU1v,171453,4
0.426,0.671,4,-5.076,0,0.0352,0.225,0.00181,0.179,0.853,125.404,audio_features,6GeloVwvwrMqCbZYQqhBKh,spotify:track:6GeloVwvwrMqCbZYQqhBKh,https://api.spotify.com/v1/tracks/6GeloVwvwrMqCbZYQqhBKh,https://api.spotify.com/v1/audio-analysis/6GeloVwvwrMqCbZYQqhBKh,132333,4
0.491,0.737,2,-5.014,1,0.0434,0.38,0.0000114,0.056,0.694,144.684,audio_features,1zXA9oFhUNO2nVMLXrTrP9,spotify:track:1zXA9oFhUNO2nVMLXrTrP9,https://api.spotify.com/v1/tracks/1zXA9oFhUNO2nVMLXrTrP9,https://api.spotify.com/v1/audio-analysis/1zXA9oFhUNO2nVMLXrTrP9,142160,4
0.532,0.827,0,-5.234,1,0.0313,0.0996,0.000112,0.0904,0.944,146.098,audio_features,3DjpRE2tUPoLArRjD7xUya,spotify:track:3DjpRE2tUPoLArRjD7xUya,https://api.spotify.com/v1/tracks/3DjpRE2tUPoLArRjD7xUya,https://api.spotify.com/v1/audio-analysis/3DjpRE2tUPoLArRjD7xUya,170027,4
0.439,0.763,0,-5.586,1,0.0379,0.00247,0.0000484,0.0388,0.706,126.246,audio_features,2LRTO8hWjLOgl7IWuc921y,spotify:track:2LRTO8hWjLOgl7IWuc921y,https://api.spotify.com/v1/tracks/2LRTO8hWjLOgl7IWuc921y,https://api.spotify.com/v1/audio-analysis/2LRTO8hWjLOgl7IWuc921y,152240,4
