audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.523,0.855,0,-7.679,1,0.0371,0.0749,0.0000334,0.327,0.486,107.967,audio_features,5g4cz7u4MrUTKDdo1TmABo,spotify:track:5g4cz7u4MrUTKDdo1TmABo,https://api.spotify.com/v1/tracks/5g4cz7u4MrUTKDdo1TmABo,https://api.spotify.com/v1/audio-analysis/5g4cz7u4MrUTKDdo1TmABo,211360,4
0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,audio_features,70wYA8oYHoMzhRRkARoMhU,spotify:track:70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/audio-analysis/70wYA8oYHoMzhRRkARoMhU,220427,4
0.566,0.873,5,-4.601,0,0.0632,0.00737,0.00217,0.343,0.383,118.488,audio_features,3GcH8qkC35CQc4xt6Dhz1r,spotify:track:3GcH8qkC35CQc4xt6Dhz1r,https://api.spotify.com/v1/tracks/3GcH8qkC35CQc4xt6Dhz1r,https://api.spotify.com/v1/audio-analysis/3GcH8qkC35CQc4xt6Dhz1r,285954,4
0.59,0.836,0,-5.391,1,0.0425,0.0576,0.0000238,0.196,0.693,144.066,audio_features,7hExqd5aeA6cdDFx6sBfd3,spotify:track:7hExqd5aeA6cdDFx6sBfd3,https://api.spotify.com/v1/tracks/7hExqd5aeA6cdDFx6sBfd3,https://api.spotify.com/v1/audio-analysis/7hExqd5aeA6cdDFx6sBfd3,193120,4
0.631,0.793,1,-4.086,0,0.0468,0.000218,0.0000565,0.0976,0.648,136.96,audio_features,3VA4sjTMSTTF02hFGmlpJh,spotify:track:3VA4sjTMSTTF02hFGmlpJh,https://api.spotify.com/v1/tracks/3VA4sjTMSTTF02hFGmlpJh,https://api.spotify.com/v1/audio-analysis/3VA4sjTMSTTF02hFGmlpJh,189373,4
0.402,0.982,0,-4.185,1,0.147,0.000394,0,0.358,0.214,159.888,audio_features,1f5RxgAxWPw1ma4xrdP82d,spotify:track:1f5RxgAxWPw1ma4xrdP82d,https://api.spotify.com/v1/tracks/1f5RxgAxWPw1ma4xrdP82d,https://api.spotify.com/v1/audio-analysis/1f5RxgAxWPw1ma4xrdP82d,186166,4
0.426,0.957,11,-4.861,0,0.131,0.0000659,0.139,0.671,0.706,107.591,audio_features,53deKSGWwZqN9afyp0mF7E,spotify:track:53deKSGWwZqN9afyp0mF7E,https://api.spotify.com/v1/tracks/53deKSGWwZqN9afyp0mF7E,https://api.spotify.com/v1/audio-analysis/53deKSGWwZqN9afyp0mF7E,111827,4
0.566,0.621,0,-8.762,1,0.0263,0.091,0.0000095,0.0882,0.4,112.149,audio_features,4QJ9qzD7PHDET2bwlOxXyO,spotify:track:4QJ9qzD7PHDET2bwlOxXyO,https://api.spotify.com/v1/tracks/4QJ9qzD7PHDET2bwlOxXyO,https://api.spotify.com/v1/audio-analysis/4QJ9qzD7PHDET2bwlOxXyO,219360,4
0.621,0.748,7,-7.586,0,0.0344,0.0014,0.0172,0.0982,0.639,120.088,audio_features,44tKNi9TEVbu31QlBkXSvG,spotify:track:44tKNi9TEVbu31QlBkXSvG,https://api.spotify.com/v1/tracks/44tKNi9TEVbu31QlBkXSvG,https://api.spotify.com/v1/audio-analysis/44tKNi9TEVbu31QlBkXSvG,179600,4
0.405,0.966,6,-3.391,0,0.164,0.0000313,0.0000314,0.124,0.539,185.975,audio_features,7eRIMklDDPLNrQtqmQruHE,spotify:track:7eRIMklDDPLNrQtqmQruHE,https://api.spotify.com/v1/tracks/7eRIMklDDPLNrQtqmQruHE,https://api.spotify.com/v1/audio-analysis/7eRIMklDDPLNrQtqmQruHE,235680,4
0.736,0.434,9,-8.345,1,0.0276,0.117,0.000219,0.128,0.382,99.915,audio_features,1KYz7S2bWcUEuWU5b42EuL,spotify:track:1KYz7S2bWcUEuWU5b42EuL,https://api.spotify.com/v1/tracks/1KYz7S2bWcUEuWU5b42EuL,https://api.spotify.com/v1/audio-analysis/1KYz7S2bWcUEuWU5b42EuL,238000,4
0.49,0.74,6,-5.369,1,0.0319,0.039,0,0.13,0.282,103.032,audio_features,2Am5FcMvdx4u4QAnQAwjVH,spotify:track:2Am5FcMvdx4u4QAnQAwjVH,https://api.spotify.com/v1/tracks/2Am5FcMvdx4u4QAnQAwjVH,https://api.spotify.com/v1/audio-analysis/2Am5FcMvdx4u4QAnQAwjVH,226907,4
0.623,0.94,9,-3.904,1,0.104,0.00404,0.00705,0.627,0.775,146.329,audio_features,4fKzAmQkfbOTmhZx3gMGAb,spotify:track:4fKzAmQkfbOTmhZx3gMGAb,https://api.spotify.com/v1/tracks/4fKzAmQkfbOTmhZx3gMGAb,https://api.spotify.com/v1/audio-analysis/4fKzAmQkfbOTmhZx3gMGAb,210640,4
0.614,0.677,9,-8.317,0,0.0323,0.0193,0.518,0.108,0.717,126.477,audio_features,5uoEJt1JhkSq1CrJw93I0E,spotify:track:5uoEJt1JhkSq1CrJw93I0E,https://api.spotify.com/v1/tracks/5uoEJt1JhkSq1CrJw93I0E,https://api.spotify.com/v1/audio-analysis/5uoEJt1JhkSq1CrJw93I0E,323600,4
