audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.675,0.915,2,-3.209,1,0.0713,0.0487,0,0.336,0.322,127.899,audio_features,0fKvQge0Oif7U5Uc4ZizHZ,spotify:track:0fKvQge0Oif7U5Uc4ZizHZ,https://api.spotify.com/v1/tracks/0fKvQge0Oif7U5Uc4ZizHZ,https://api.spotify.com/v1/audio-analysis/0fKvQge0Oif7U5Uc4ZizHZ,186000,4
0.74,0.567,9,-7.407,1,0.12,0.00366,0.00551,0.113,0.087,133.991,audio_features,7ok3N3VU6nNem8A0vWMgOo,spotify:track:7ok3N3VU6nNem8A0vWMgOo,https://api.spotify.com/v1/tracks/7ok3N3VU6nNem8A0vWMgOo,https://api.spotify.com/v1/audio-analysis/7ok3N3VU6nNem8A0vWMgOo,177313,4
0.765,0.938,2,-6.798,1,0.922,0.198,0.046,0.213,0.342,150.088,audio_features,2UsioXuoS0jpSFsB6NM6il,spotify:track:2UsioXuoS0jpSFsB6NM6il,https://api.spotify.com/v1/tracks/2UsioXuoS0jpSFsB6NM6il,https://api.spotify.com/v1/audio-analysis/2UsioXuoS0jpSFsB6NM6il,132000,4
0.804,0.82,6,-5.375,1,0.0408,0.398,0.0624,0.0992,0.564,117.99,audio_features,0ZFzV813vzKHfEYWX9gIeE,spotify:track:0ZFzV813vzKHfEYWX9gIeE,https://api.spotify.com/v1/tracks/0ZFzV813vzKHfEYWX9gIeE,https://api.spotify.com/v1/audio-analysis/0ZFzV813vzKHfEYWX9gIeE,152477,4
0.829,0.555,11,-7.933,0,0.164,0.559,0,0.132,0.734,140.987,audio_features,3Qy00wXtpg84YeBoxneAnQ,spotify:track:3Qy00wXtpg84YeBoxneAnQ,https://api.spotify.com/v1/tracks/3Qy00wXtpg84YeBoxneAnQ,https://api.spotify.com/v1/audio-analysis/3Qy00wXtpg84YeBoxneAnQ,206956,4
0.805,0.825,11,-3.981,0,0.0545,0.0175,0.0000392,0.0893,0.849,123.971,audio_features,0gCijLezQIENWyR0GksdTu,spotify:track:0gCijLezQIENWyR0GksdTu,https://api.spotify.com/v1/tracks/0gCijLezQIENWyR0GksdTu,https://api.spotify.com/v1/audio-analysis/0gCijLezQIENWyR0GksdTu,168696,4
0.732,0.976,5,-5.305,1,0.045,0.0299,0.0000838,0.25,0.523,144.985,audio_features,0JZ1ABjN8q7TNwMP39NjvU,spotify:track:0JZ1ABjN8q7TNwMP39NjvU,https://api.spotify.com/v1/tracks/0JZ1ABjN8q7TNwMP39NjvU,https://api.spotify.com/v1/audio-analysis/0JZ1ABjN8q7TNwMP39NjvU,163034,4
0.654,0.834,0,-3.968,1,0.176,0.0221,0.0111,0.367,0.201,125.045,audio_features,3lU1QvBX8Rz4LySx1nkKaH,spotify:track:3lU1QvBX8Rz4LySx1nkKaH,https://api.spotify.com/v1/tracks/3lU1QvBX8Rz4LySx1nkKaH,https://api.spotify.com/v1/audio-analysis/3lU1QvBX8Rz4LySx1nkKaH,162454,4
0.915,0.49,5,-12.5,1,0.256,0.0014,0.0000504,0.342,0.488,128.007,audio_features,3RH7hEg0HoBmiWYKSmdoeZ,spotify:track:3RH7hEg0HoBmiWYKSmdoeZ,https://api.spotify.com/v1/tracks/3RH7hEg0HoBmiWYKSmdoeZ,https://api.spotify.com/v1/audio-analysis/3RH7hEg0HoBmiWYKSmdoeZ,205079,4
0.61,0.907,0,-3.856,0,0.0502,0.00117,0.000638,0.145,0.589,128.004,audio_features,6iKPJstZkpPWUWUulJNBsg,spotify:track:6iKPJstZkpPWUWUulJNBsg,https://api.spotify.com/v1/tracks/6iKPJstZkpPWUWUulJNBsg,https://api.spotify.com/v1/audio-analysis/6iKPJstZkpPWUWUulJNBsg,217467,4
0.523,0.994,1,-2.774,1,0.0421,0.00437,0.0238,0.609,0.4,143.94,audio_features,0kGLK7iDoxvUcrGaUkiNjA,spotify:track:0kGLK7iDoxvUcrGaUkiNjA,https://api.spotify.com/v1/tracks/0kGLK7iDoxvUcrGaUkiNjA,https://api.spotify.com/v1/audio-analysis/0kGLK7iDoxvUcrGaUkiNjA,249382,4
0.556,0.986,0,-5.686,0,0.0538,0.0327,0.00000156,0.254,0.501,142.051,audio_features,3X4EgTZzkyooe4wQVUHLvy,spotify:track:3X4EgTZzkyooe4wQVUHLvy,https://api.spotify.com/v1/tracks/3X4EgTZzkyooe4wQVUHLvy,https://api.spotify.com/v1/audio-analysis/3X4EgTZzkyooe4wQVUHLvy,202144,4
0.563,0.984,2,-7.224,1,0.0632,0.00348,0.00000404,0.115,0.57,142.007,audio_features,23Hf54LXsHHP9QUsojxCwB,spotify:track:23Hf54LXsHHP9QUsojxCwB,https://api.spotify.com/v1/tracks/23Hf54LXsHHP9QUsojxCwB,https://api.spotify.com/v1/audio-analysis/23Hf54LXsHHP9QUsojxCwB,209822,4
0.606,0.964,9,-5.253,0,0.0647,0.00108,0.000514,0.0734,0.653,144.976,audio_features,0Pk8ZxiMZNm1OZzdzVT9WZ,spotify:track:0Pk8ZxiMZNm1OZzdzVT9WZ,https://api.spotify.com/v1/tracks/0Pk8ZxiMZNm1OZzdzVT9WZ,https://api.spotify.com/v1/audio-analysis/0Pk8ZxiMZNm1OZzdzVT9WZ,209504,4
0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,audio_features,3qLhHLgFCvq6YEzqZhCPEd,spotify:track:3qLhHLgFCvq6YEzqZhCPEd,https://api.spotify.com/v1/tracks/3qLhHLgFCvq6YEzqZhCPEd,https://api.spotify.com/v1/audio-analysis/3qLhHLgFCvq6YEzqZhCPEd,185133,4
0.47,0.983,7,-4.711,1,0.406,0.0019,0.0000601,0.332,0.132,142.071,audio_features,4PiEhlk8FGeb4ngSPu29Fu,spotify:track:4PiEhlk8FGeb4ngSPu29Fu,https://api.spotify.com/v1/tracks/4PiEhlk8FGeb4ngSPu29Fu,https://api.spotify.com/v1/audio-analysis/4PiEhlk8FGeb4ngSPu29Fu,212371,4
0.334,0.888,0,-7.669,1,0.0716,0.00189,0.0039,0.594,0.338,144.825,audio_features,4PaUg0yUyWfJGPbXsSxUY7,spotify:track:4PaUg0yUyWfJGPbXsSxUY7,https://api.spotify.com/v1/tracks/4PaUg0yUyWfJGPbXsSxUY7,https://api.spotify.com/v1/audio-analysis/4PaUg0yUyWfJGPbXsSxUY7,187686,4
0.623,0.575,9,-8.632,1,0.036,0.00448,0,0.21,0.344,127.95,audio_features,5hPGOTGcfn8uwHFCLGJ4WH,spotify:track:5hPGOTGcfn8uwHFCLGJ4WH,https://api.spotify.com/v1/tracks/5hPGOTGcfn8uwHFCLGJ4WH,https://api.spotify.com/v1/audio-analysis/5hPGOTGcfn8uwHFCLGJ4WH,206719,4
0.856,0.903,10,-2.377,0,0.0521,0.0362,0.000322,0.227,0.465,124.005,audio_features,3hjonywoTsKFXOOIejhwhY,spotify:track:3hjonywoTsKFXOOIejhwhY,https://api.spotify.com/v1/tracks/3hjonywoTsKFXOOIejhwhY,https://api.spotify.com/v1/audio-analysis/3hjonywoTsKFXOOIejhwhY,176129,4
0.652,0.883,9,-5.663,1,0.275,0.00112,0.0103,0.254,0.394,144.95,audio_features,5mpK2fzwFJndyf0rYWeeNV,spotify:track:5mpK2fzwFJndyf0rYWeeNV,https://api.spotify.com/v1/tracks/5mpK2fzwFJndyf0rYWeeNV,https://api.spotify.com/v1/audio-analysis/5mpK2fzwFJndyf0rYWeeNV,153621,4
0.708,0.796,9,-5.625,0,0.0777,0.00294,0.0000207,0.411,0.487,131.962,audio_features,3catnGlm8TVYEt85hW1L9n,spotify:track:3catnGlm8TVYEt85hW1L9n,https://api.spotify.com/v1/tracks/3catnGlm8TVYEt85hW1L9n,https://api.spotify.com/v1/audio-analysis/3catnGlm8TVYEt85hW1L9n,185455,4
0.665,0.886,11,-5.477,0,0.261,0.0345,0,0.563,0.397,139.937,audio_features,5PGIfrqmvJZ4xQDu0X5kYR,spotify:track:5PGIfrqmvJZ4xQDu0X5kYR,https://api.spotify.com/v1/tracks/5PGIfrqmvJZ4xQDu0X5kYR,https://api.spotify.com/v1/audio-analysis/5PGIfrqmvJZ4xQDu0X5kYR,200000,4
0.6,0.951,9,-4.519,1,0.0636,0.0302,0.0208,0.667,0.698,142.016,audio_features,2h3Bof7GaRY4ttB6drXsAh,spotify:track:2h3Bof7GaRY4ttB6drXsAh,https://api.spotify.com/v1/tracks/2h3Bof7GaRY4ttB6drXsAh,https://api.spotify.com/v1/audio-analysis/2h3Bof7GaRY4ttB6drXsAh,214873,4
0.529,0.821,11,-6.062,1,0.274,0.00755,0.0000497,0.16,0.34,140.131,audio_features,3jYZGkUA9n36gYLyASVDsV,spotify:track:3jYZGkUA9n36gYLyASVDsV,https://api.spotify.com/v1/tracks/3jYZGkUA9n36gYLyASVDsV,https://api.spotify.com/v1/audio-analysis/3jYZGkUA9n36gYLyASVDsV,205570,4
0.577,0.908,3,-5.274,1,0.0523,0.0175,0.000175,0.0898,0.293,140.006,audio_features,4sRKG3kD0RAf6hajHE0MwJ,spotify:track:4sRKG3kD0RAf6hajHE0MwJ,https://api.spotify.com/v1/tracks/4sRKG3kD0RAf6hajHE0MwJ,https://api.spotify.com/v1/audio-analysis/4sRKG3kD0RAf6hajHE0MwJ,208705,4
0.886,0.793,1,-3.603,1,0.0681,0.0311,0.3,0.0868,0.699,127.968,audio_features,1AV9HPIwJywwUxFj8Q9kLi,spotify:track:1AV9HPIwJywwUxFj8Q9kLi,https://api.spotify.com/v1/tracks/1AV9HPIwJywwUxFj8Q9kLi,https://api.spotify.com/v1/audio-analysis/1AV9HPIwJywwUxFj8Q9kLi,198883,4
0.341,0.727,0,-4.62,0,0.0413,0.0632,0.0000089,0.132,0.373,90.101,audio_features,0SvTKEBT6vWVqQuEAd1A6w,spotify:track:0SvTKEBT6vWVqQuEAd1A6w,https://api.spotify.com/v1/tracks/0SvTKEBT6vWVqQuEAd1A6w,https://api.spotify.com/v1/audio-analysis/0SvTKEBT6vWVqQuEAd1A6w,205751,4
0.659,0.989,7,-4.81,1,0.0691,0.00187,0.000182,0.569,0.562,142.039,audio_features,2MmSCAT7BS4X8ldeWiomW1,spotify:track:2MmSCAT7BS4X8ldeWiomW1,https://api.spotify.com/v1/tracks/2MmSCAT7BS4X8ldeWiomW1,https://api.spotify.com/v1/audio-analysis/2MmSCAT7BS4X8ldeWiomW1,198466,4
0.618,0.908,10,-7.083,1,0.0878,0.0439,0.0868,0.137,0.218,127.254,audio_features,5tD81bSiaW4dZEIUJjO22J,spotify:track:5tD81bSiaW4dZEIUJjO22J,https://api.spotify.com/v1/tracks/5tD81bSiaW4dZEIUJjO22J,https://api.spotify.com/v1/audio-analysis/5tD81bSiaW4dZEIUJjO22J,160630,4
0.678,0.924,0,-5.093,0,0.0382,0.034,0.124,0.103,0.413,124.928,audio_features,3RHnZNUd4LzjxJAGYY1row,spotify:track:3RHnZNUd4LzjxJAGYY1row,https://api.spotify.com/v1/tracks/3RHnZNUd4LzjxJAGYY1row,https://api.spotify.com/v1/audio-analysis/3RHnZNUd4LzjxJAGYY1row,218407,4
0.741,0.542,6,-7.948,1,0.0401,0.00742,0.00976,0.333,0.629,127.988,audio_features,0W67zUnbKRXkNLFYYNbjj9,spotify:track:0W67zUnbKRXkNLFYYNbjj9,https://api.spotify.com/v1/tracks/0W67zUnbKRXkNLFYYNbjj9,https://api.spotify.com/v1/audio-analysis/0W67zUnbKRXkNLFYYNbjj9,214204,4
0.589,0.941,0,-5.667,1,0.0545,0.00085,0.0035,0.0769,0.386,144.035,audio_features,4AjljcqepUoNVf8Ysh4AbQ,spotify:track:4AjljcqepUoNVf8Ysh4AbQ,https://api.spotify.com/v1/tracks/4AjljcqepUoNVf8Ysh4AbQ,https://api.spotify.com/v1/audio-analysis/4AjljcqepUoNVf8Ysh4AbQ,233280,4
0.607,0.955,9,-3.325,0,0.0883,0.022,0.677,0.0987,0.137,150.016,audio_features,3rJZgmDE26oQSeF8xbJPNT,spotify:track:3rJZgmDE26oQSeF8xbJPNT,https://api.spotify.com/v1/tracks/3rJZgmDE26oQSeF8xbJPNT,https://api.spotify.com/v1/audio-analysis/3rJZgmDE26oQSeF8xbJPNT,296092,4
0.347,0.957,1,-4.498,0,0.05,0.0012,0.0101,0.0981,0.598,136.182,audio_features,0t4kz30VWenQ60DOV54dni,spotify:track:0t4kz30VWenQ60DOV54dni,https://api.spotify.com/v1/tracks/0t4kz30VWenQ60DOV54dni,https://api.spotify.com/v1/audio-analysis/0t4kz30VWenQ60DOV54dni,280085,4
0.73,0.834,8,-5.863,1,0.0369,0.00137,0.309,0.341,0.466,130.019,audio_features,2rsE1lPMHfvYgYqIwPsARc,spotify:track:2rsE1lPMHfvYgYqIwPsARc,https://api.spotify.com/v1/tracks/2rsE1lPMHfvYgYqIwPsARc,https://api.spotify.com/v1/audio-analysis/2rsE1lPMHfvYgYqIwPsARc,197811,4
