audio_features/danceability,audio_features/energy,audio_features/key,audio_features/loudness,audio_features/mode,audio_features/speechiness,audio_features/acousticness,audio_features/instrumentalness,audio_features/liveness,audio_features/valence,audio_features/tempo,audio_features/type,audio_features/id,audio_features/uri,audio_features/track_href,audio_features/analysis_url,audio_features/duration_ms,audio_features/time_signature
0.491,0.512,10,-9.109,1,0.0352,0.752,0.00000673,0.0925,0.839,126.753,audio_features,4imYTftUBGtMP4DKfJRYyf,spotify:track:4imYTftUBGtMP4DKfJRYyf,https://api.spotify.com/v1/tracks/4imYTftUBGtMP4DKfJRYyf,https://api.spotify.com/v1/audio-analysis/4imYTftUBGtMP4DKfJRYyf,177308,4
0.618,0.274,7,-11.782,1,0.0311,0.922,0.0000242,0.108,0.439,128.884,audio_features,1ypx1v2k1cQFX0Vrda7nEl,spotify:track:1ypx1v2k1cQFX0Vrda7nEl,https://api.spotify.com/v1/tracks/1ypx1v2k1cQFX0Vrda7nEl,https://api.spotify.com/v1/audio-analysis/1ypx1v2k1cQFX0Vrda7nEl,161332,4
0.578,0.56,9,-11.873,1,0.0398,0.723,0.0000168,0.119,0.875,85.541,audio_features,1q0SkvboXCdVQauHBzVr9z,spotify:track:1q0SkvboXCdVQauHBzVr9z,https://api.spotify.com/v1/tracks/1q0SkvboXCdVQauHBzVr9z,https://api.spotify.com/v1/audio-analysis/1q0SkvboXCdVQauHBzVr9z,129373,3
0.552,0.474,7,-6.847,1,0.0275,0.336,0,0.173,0.7,92.156,audio_features,3JWEMzwpcWCvu4Qw1BIbYi,spotify:track:3JWEMzwpcWCvu4Qw1BIbYi,https://api.spotify.com/v1/tracks/3JWEMzwpcWCvu4Qw1BIbYi,https://api.spotify.com/v1/audio-analysis/3JWEMzwpcWCvu4Qw1BIbYi,143693,4
0.471,0.672,9,-5.741,1,0.0369,0.174,0,0.054,0.95,202.998,audio_features,6dYCiAzt1o9D1XeEVrID1B,spotify:track:6dYCiAzt1o9D1XeEVrID1B,https://api.spotify.com/v1/tracks/6dYCiAzt1o9D1XeEVrID1B,https://api.spotify.com/v1/audio-analysis/6dYCiAzt1o9D1XeEVrID1B,156640,4
0.46,0.306,1,-7.684,1,0.0268,0.384,0.00545,0.0808,0.489,76.788,audio_features,7xjhoACcakLFgqxkp4FyXm,spotify:track:7xjhoACcakLFgqxkp4FyXm,https://api.spotify.com/v1/tracks/7xjhoACcakLFgqxkp4FyXm,https://api.spotify.com/v1/audio-analysis/7xjhoACcakLFgqxkp4FyXm,148893,4
0.701,0.497,4,-10.05,1,0.0316,0.595,0.0000312,0.118,0.963,96.513,audio_features,1GDAvJth0ebssC2XkG7RYM,spotify:track:1GDAvJth0ebssC2XkG7RYM,https://api.spotify.com/v1/tracks/1GDAvJth0ebssC2XkG7RYM,https://api.spotify.com/v1/audio-analysis/1GDAvJth0ebssC2XkG7RYM,133867,4
0.609,0.569,9,-6.359,1,0.0371,0.285,0,0.0586,0.787,86.583,audio_features,1jGa3ZVWNhqes22ZoVBfOJ,spotify:track:1jGa3ZVWNhqes22ZoVBfOJ,https://api.spotify.com/v1/tracks/1jGa3ZVWNhqes22ZoVBfOJ,https://api.spotify.com/v1/audio-analysis/1jGa3ZVWNhqes22ZoVBfOJ,148320,4
0.645,0.479,5,-8.773,1,0.029,0.422,0.00632,0.147,0.853,130.215,audio_features,3IgVL48zXa2S46PkTr1UNl,spotify:track:3IgVL48zXa2S46PkTr1UNl,https://api.spotify.com/v1/tracks/3IgVL48zXa2S46PkTr1UNl,https://api.spotify.com/v1/audio-analysis/3IgVL48zXa2S46PkTr1UNl,161547,4
0.621,0.552,8,-6.986,1,0.0242,0.464,0.00135,0.0735,0.969,92.668,audio_features,0svhKL5JfIxASjbmEkxXKV,spotify:track:0svhKL5JfIxASjbmEkxXKV,https://api.spotify.com/v1/tracks/0svhKL5JfIxASjbmEkxXKV,https://api.spotify.com/v1/audio-analysis/0svhKL5JfIxASjbmEkxXKV,124147,4
0.558,0.436,9,-5.792,1,0.0296,0.57,0.00000531,0.0913,0.857,152.89,audio_features,62aHZDM8REF3iJKIVcNoRK,spotify:track:62aHZDM8REF3iJKIVcNoRK,https://api.spotify.com/v1/tracks/62aHZDM8REF3iJKIVcNoRK,https://api.spotify.com/v1/audio-analysis/62aHZDM8REF3iJKIVcNoRK,164240,4
