danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.512,0.93,9,-4.344,1,0.0508,0.168,0.00119,0.561,0.677,100.542,audio_features,2ATDkfqprlNNe9mYWodgdc,spotify:track:2ATDkfqprlNNe9mYWodgdc,https://api.spotify.com/v1/tracks/2ATDkfqprlNNe9mYWodgdc,https://api.spotify.com/v1/audio-analysis/2ATDkfqprlNNe9mYWodgdc,231093,4
0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,audio_features,4yugZvBYaoREkJKtbG08Qr,spotify:track:4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/tracks/4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/audio-analysis/4yugZvBYaoREkJKtbG08Qr,211578,4
0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
0.716,0.465,2,-15.205,0,0.0307,0.0107,0.000667,0.099,0.877,112.087,audio_features,3wsPg2KrRYZFi0inIFa41x,spotify:track:3wsPg2KrRYZFi0inIFa41x,https://api.spotify.com/v1/tracks/3wsPg2KrRYZFi0inIFa41x,https://api.spotify.com/v1/audio-analysis/3wsPg2KrRYZFi0inIFa41x,325813,4
0.829,0.487,0,-9.751,1,0.0278,0.0671,0.00263,0.127,0.776,120.173,audio_features,5TDZyWDfbQFQJabbPwImVY,spotify:track:5TDZyWDfbQFQJabbPwImVY,https://api.spotify.com/v1/tracks/5TDZyWDfbQFQJabbPwImVY,https://api.spotify.com/v1/audio-analysis/5TDZyWDfbQFQJabbPwImVY,257800,4
0.677,0.619,9,-7.446,0,0.0334,0.457,0.000149,0.221,0.74,119.624,audio_features,777NOXupZkFdg8zlPMoVqc,spotify:track:777NOXupZkFdg8zlPMoVqc,https://api.spotify.com/v1/tracks/777NOXupZkFdg8zlPMoVqc,https://api.spotify.com/v1/audio-analysis/777NOXupZkFdg8zlPMoVqc,269840,4
0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,audio_features,70C4NyhjD5OZUMzvWZ3njJ,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/audio-analysis/70C4NyhjD5OZUMzvWZ3njJ,339000,3
0.703,0.831,10,-7.225,0,0.0349,0.0328,0.00839,0.218,0.949,103.573,audio_features,7qK3JFriCqLorQivsJYG2X,spotify:track:7qK3JFriCqLorQivsJYG2X,https://api.spotify.com/v1/tracks/7qK3JFriCqLorQivsJYG2X,https://api.spotify.com/v1/audio-analysis/7qK3JFriCqLorQivsJYG2X,283147,4
0.76,0.504,10,-6.752,1,0.0402,0.0371,0.00227,0.103,0.642,109.994,audio_features,3FaKhUKpfnkbHRLivA8bPj,spotify:track:3FaKhUKpfnkbHRLivA8bPj,https://api.spotify.com/v1/tracks/3FaKhUKpfnkbHRLivA8bPj,https://api.spotify.com/v1/audio-analysis/3FaKhUKpfnkbHRLivA8bPj,220600,4
0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,audio_features,2Xb6wJYGi0QXwURw5WWvI5,spotify:track:2Xb6wJYGi0QXwURw5WWvI5,https://api.spotify.com/v1/tracks/2Xb6wJYGi0QXwURw5WWvI5,https://api.spotify.com/v1/audio-analysis/2Xb6wJYGi0QXwURw5WWvI5,267773,4
0.761,0.723,7,-10.549,1,0.0313,0.126,0.000292,0.345,0.923,129.269,audio_features,0EA8k9iH93YEJFaBuRt7Tc,spotify:track:0EA8k9iH93YEJFaBuRt7Tc,https://api.spotify.com/v1/tracks/0EA8k9iH93YEJFaBuRt7Tc,https://api.spotify.com/v1/audio-analysis/0EA8k9iH93YEJFaBuRt7Tc,239529,4
0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,audio_features,2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/tracks/2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/audio-analysis/2grjqo0Frpf2okIBiifQKs,215093,4
0.591,0.804,0,-7.299,1,0.0454,0.327,0.00000598,0.0818,0.658,111.457,audio_features,7L3b6iaVhDVjfo52Hbvh9Z,spotify:track:7L3b6iaVhDVjfo52Hbvh9Z,https://api.spotify.com/v1/tracks/7L3b6iaVhDVjfo52Hbvh9Z,https://api.spotify.com/v1/audio-analysis/7L3b6iaVhDVjfo52Hbvh9Z,329413,4
0.625,0.591,7,-9.127,0,0.0265,0.0138,0.0399,0.0893,0.863,126.597,audio_features,28H3wOEKsaEa8NBEYCLl4j,spotify:track:28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/tracks/28H3wOEKsaEa8NBEYCLl4j,https://api.spotify.com/v1/audio-analysis/28H3wOEKsaEa8NBEYCLl4j,213693,4
0.614,0.763,4,-8.949,0,0.133,0.171,0,0.119,0.885,84.236,audio_features,7uPmQttafLiJyju14JREY4,spotify:track:7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/tracks/7uPmQttafLiJyju14JREY4,https://api.spotify.com/v1/audio-analysis/7uPmQttafLiJyju14JREY4,313707,4
