danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.622,0.481,7,-13.92,1,0.0276,0.375,0,0.101,0.65,99.138,audio_features,1tSbGaCFGsH38z1m5vGr65,spotify:track:1tSbGaCFGsH38z1m5vGr65,https://api.spotify.com/v1/tracks/1tSbGaCFGsH38z1m5vGr65,https://api.spotify.com/v1/audio-analysis/1tSbGaCFGsH38z1m5vGr65,149600,4
0.621,0.513,10,-7.876,1,0.0465,0.833,0.00000607,0.0749,0.961,144.957,audio_features,6Gd0K4X3haUpfUGU9dtZN7,spotify:track:6Gd0K4X3haUpfUGU9dtZN7,https://api.spotify.com/v1/tracks/6Gd0K4X3haUpfUGU9dtZN7,https://api.spotify.com/v1/audio-analysis/6Gd0K4X3haUpfUGU9dtZN7,121056,4
0.592,0.827,8,-8.456,1,0.0509,0.241,0.000256,0.329,0.965,171.355,audio_features,7K4Rp9yaiHD6Rrgdb2jW3J,spotify:track:7K4Rp9yaiHD6Rrgdb2jW3J,https://api.spotify.com/v1/tracks/7K4Rp9yaiHD6Rrgdb2jW3J,https://api.spotify.com/v1/audio-analysis/7K4Rp9yaiHD6Rrgdb2jW3J,133267,4
0.503,0.891,4,-8.041,1,0.0709,0.709,0,0.11,0.462,169.844,audio_features,2GmyGiMxt8IG0qcjEwjh4s,spotify:track:2GmyGiMxt8IG0qcjEwjh4s,https://api.spotify.com/v1/tracks/2GmyGiMxt8IG0qcjEwjh4s,https://api.spotify.com/v1/audio-analysis/2GmyGiMxt8IG0qcjEwjh4s,151853,4
0.58,0.826,0,-7.366,1,0.0551,0.826,0.0433,0.298,0.967,172.076,audio_features,30FG5ykE69jN7PxjG1RoBn,spotify:track:30FG5ykE69jN7PxjG1RoBn,https://api.spotify.com/v1/tracks/30FG5ykE69jN7PxjG1RoBn,https://api.spotify.com/v1/audio-analysis/30FG5ykE69jN7PxjG1RoBn,127093,4
0.685,0.706,2,-11.362,1,0.0338,0.72,0.00358,0.312,0.986,154.815,audio_features,6tfsv0wiDoDJSD4L7RUKeG,spotify:track:6tfsv0wiDoDJSD4L7RUKeG,https://api.spotify.com/v1/tracks/6tfsv0wiDoDJSD4L7RUKeG,https://api.spotify.com/v1/audio-analysis/6tfsv0wiDoDJSD4L7RUKeG,138960,4
0.604,0.706,2,-10.581,1,0.0858,0.708,0,0.286,0.964,96.71,audio_features,7c3hrprqAIThOTNz7wIkL0,spotify:track:7c3hrprqAIThOTNz7wIkL0,https://api.spotify.com/v1/tracks/7c3hrprqAIThOTNz7wIkL0,https://api.spotify.com/v1/audio-analysis/7c3hrprqAIThOTNz7wIkL0,128731,4
0.704,0.563,2,-8.297,1,0.0262,0.624,0,0.213,0.745,105.362,audio_features,06MGNm5e872aAWrCHR1JWJ,spotify:track:06MGNm5e872aAWrCHR1JWJ,https://api.spotify.com/v1/tracks/06MGNm5e872aAWrCHR1JWJ,https://api.spotify.com/v1/audio-analysis/06MGNm5e872aAWrCHR1JWJ,131331,4
0.735,0.931,2,-4.276,1,0.0512,0.716,0.0000202,0.144,0.961,148.635,audio_features,4tmhWiGHZ5hCG6iRLWaiAI,spotify:track:4tmhWiGHZ5hCG6iRLWaiAI,https://api.spotify.com/v1/tracks/4tmhWiGHZ5hCG6iRLWaiAI,https://api.spotify.com/v1/audio-analysis/4tmhWiGHZ5hCG6iRLWaiAI,173547,4
0.64,0.768,0,-11.498,1,0.037,0.727,0.00155,0.102,0.964,90.4,audio_features,1kM3hpk1Q5g9wZeHj0CcIE,spotify:track:1kM3hpk1Q5g9wZeHj0CcIE,https://api.spotify.com/v1/tracks/1kM3hpk1Q5g9wZeHj0CcIE,https://api.spotify.com/v1/audio-analysis/1kM3hpk1Q5g9wZeHj0CcIE,138080,4
0.523,0.676,2,-7.716,1,0.0703,0.684,0.00000131,0.0847,0.965,95.377,audio_features,5wVttinuTqtg7PPWY9xO3T,spotify:track:5wVttinuTqtg7PPWY9xO3T,https://api.spotify.com/v1/tracks/5wVttinuTqtg7PPWY9xO3T,https://api.spotify.com/v1/audio-analysis/5wVttinuTqtg7PPWY9xO3T,120440,4
0.452,0.582,7,-8.265,1,0.0783,0.43,0,0.253,0.911,156.507,audio_features,24SUS4xHiaWoXjpePiVo9Y,spotify:track:24SUS4xHiaWoXjpePiVo9Y,https://api.spotify.com/v1/tracks/24SUS4xHiaWoXjpePiVo9Y,https://api.spotify.com/v1/audio-analysis/24SUS4xHiaWoXjpePiVo9Y,134480,3
0.534,0.478,4,-18.315,1,0.0339,0.787,0.0000147,0.399,0.872,89.469,audio_features,6c2NII9FxeqU7xtoUnGmF3,spotify:track:6c2NII9FxeqU7xtoUnGmF3,https://api.spotify.com/v1/tracks/6c2NII9FxeqU7xtoUnGmF3,https://api.spotify.com/v1/audio-analysis/6c2NII9FxeqU7xtoUnGmF3,118949,4
0.654,0.408,2,-9.702,1,0.036,0.777,0.00000348,0.143,0.705,104.853,audio_features,192zScSjNn7KjX8lSDDTIP,spotify:track:192zScSjNn7KjX8lSDDTIP,https://api.spotify.com/v1/tracks/192zScSjNn7KjX8lSDDTIP,https://api.spotify.com/v1/audio-analysis/192zScSjNn7KjX8lSDDTIP,115960,4
0.728,0.879,4,-7.278,1,0.0385,0.722,0.00221,0.0591,0.972,88.792,audio_features,00TER0nDAaesx26gK6L1o5,spotify:track:00TER0nDAaesx26gK6L1o5,https://api.spotify.com/v1/tracks/00TER0nDAaesx26gK6L1o5,https://api.spotify.com/v1/audio-analysis/00TER0nDAaesx26gK6L1o5,120920,4
0.678,0.567,2,-11.717,1,0.173,0.856,0.000044,0.104,0.848,169.797,audio_features,7wGnfPy8EhbopJ6RjbdRiJ,spotify:track:7wGnfPy8EhbopJ6RjbdRiJ,https://api.spotify.com/v1/tracks/7wGnfPy8EhbopJ6RjbdRiJ,https://api.spotify.com/v1/audio-analysis/7wGnfPy8EhbopJ6RjbdRiJ,123347,4
0.426,0.816,11,-10.049,1,0.0925,0.758,0,0.244,0.908,170.864,audio_features,485WAZExinRcEtsKLSZVn2,spotify:track:485WAZExinRcEtsKLSZVn2,https://api.spotify.com/v1/tracks/485WAZExinRcEtsKLSZVn2,https://api.spotify.com/v1/audio-analysis/485WAZExinRcEtsKLSZVn2,179253,4
0.462,0.868,0,-10.184,1,0.0549,0.493,0,0.245,0.871,87.643,audio_features,7mFJodJpDLAlIQHPRbXoKb,spotify:track:7mFJodJpDLAlIQHPRbXoKb,https://api.spotify.com/v1/tracks/7mFJodJpDLAlIQHPRbXoKb,https://api.spotify.com/v1/audio-analysis/7mFJodJpDLAlIQHPRbXoKb,119333,4
0.573,0.837,0,-10.224,1,0.0977,0.72,0.0000324,0.242,0.929,157.138,audio_features,2LcV5dZWN47XVCVZ1dFwfQ,spotify:track:2LcV5dZWN47XVCVZ1dFwfQ,https://api.spotify.com/v1/tracks/2LcV5dZWN47XVCVZ1dFwfQ,https://api.spotify.com/v1/audio-analysis/2LcV5dZWN47XVCVZ1dFwfQ,160867,4
0.466,0.88,0,-8.249,1,0.0714,0.656,0,0.717,0.961,167.428,audio_features,6CLbrF2cpBT6lEHqTL5iDr,spotify:track:6CLbrF2cpBT6lEHqTL5iDr,https://api.spotify.com/v1/tracks/6CLbrF2cpBT6lEHqTL5iDr,https://api.spotify.com/v1/audio-analysis/6CLbrF2cpBT6lEHqTL5iDr,142547,4
0.56,0.835,0,-8.107,1,0.0393,0.0755,0.23,0.331,0.972,165.859,audio_features,4Gex6MimXeTZdhrHZNWNZm,spotify:track:4Gex6MimXeTZdhrHZNWNZm,https://api.spotify.com/v1/tracks/4Gex6MimXeTZdhrHZNWNZm,https://api.spotify.com/v1/audio-analysis/4Gex6MimXeTZdhrHZNWNZm,136587,4
