danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.67,0.287,2,-13.562,0,0.0592,0.839,0,0.41,0.687,132.023,audio_features,5nzO8mAdEVsYA6HWRChA5P,spotify:track:5nzO8mAdEVsYA6HWRChA5P,https://api.spotify.com/v1/tracks/5nzO8mAdEVsYA6HWRChA5P,https://api.spotify.com/v1/audio-analysis/5nzO8mAdEVsYA6HWRChA5P,164440,4
0.513,0.137,8,-15.146,1,0.0309,0.957,0,0.102,0.424,73.24,audio_features,7fWo4TRloCEOl12sMX2sNq,spotify:track:7fWo4TRloCEOl12sMX2sNq,https://api.spotify.com/v1/tracks/7fWo4TRloCEOl12sMX2sNq,https://api.spotify.com/v1/audio-analysis/7fWo4TRloCEOl12sMX2sNq,178667,4
0.564,0.283,1,-13.624,1,0.0407,0.635,0,0.188,0.678,78.715,audio_features,6AhHYWJOBMRjEi2z1tWpYa,spotify:track:6AhHYWJOBMRjEi2z1tWpYa,https://api.spotify.com/v1/tracks/6AhHYWJOBMRjEi2z1tWpYa,https://api.spotify.com/v1/audio-analysis/6AhHYWJOBMRjEi2z1tWpYa,153867,4
0.585,0.258,7,-17.434,1,0.0345,0.789,0.000124,0.0857,0.556,115.708,audio_features,12xcVtuBZw6KMC6Gemq7tW,spotify:track:12xcVtuBZw6KMC6Gemq7tW,https://api.spotify.com/v1/tracks/12xcVtuBZw6KMC6Gemq7tW,https://api.spotify.com/v1/audio-analysis/12xcVtuBZw6KMC6Gemq7tW,155507,3
0.526,0.774,5,-1.692,1,0.0459,0.715,0,0.437,0.715,131.715,audio_features,5XeUMqS6mpTEspPgd5TLtg,spotify:track:5XeUMqS6mpTEspPgd5TLtg,https://api.spotify.com/v1/tracks/5XeUMqS6mpTEspPgd5TLtg,https://api.spotify.com/v1/audio-analysis/5XeUMqS6mpTEspPgd5TLtg,150706,4
0.572,0.418,0,-10.738,1,0.0349,0.635,0,0.0961,0.694,104.566,audio_features,6RrXd9Hph4hYR4bf3dbM6H,spotify:track:6RrXd9Hph4hYR4bf3dbM6H,https://api.spotify.com/v1/tracks/6RrXd9Hph4hYR4bf3dbM6H,https://api.spotify.com/v1/audio-analysis/6RrXd9Hph4hYR4bf3dbM6H,165000,4
0.432,0.164,5,-15.114,1,0.0619,0.882,0,0.12,0.614,207.753,audio_features,6UVPuIgNTVNpqyX3YGoj1T,spotify:track:6UVPuIgNTVNpqyX3YGoj1T,https://api.spotify.com/v1/tracks/6UVPuIgNTVNpqyX3YGoj1T,https://api.spotify.com/v1/audio-analysis/6UVPuIgNTVNpqyX3YGoj1T,137493,4
0.534,0.462,4,-8.172,1,0.0266,0.839,0,0.129,0.534,96.195,audio_features,7dblNGnRXEBrVJunazs2U5,spotify:track:7dblNGnRXEBrVJunazs2U5,https://api.spotify.com/v1/tracks/7dblNGnRXEBrVJunazs2U5,https://api.spotify.com/v1/audio-analysis/7dblNGnRXEBrVJunazs2U5,143333,4
0.492,0.0671,10,-15.671,0,0.0399,0.958,0.000968,0.109,0.165,124.908,audio_features,1xlyVmdCo5lMRIzuMlAUF7,spotify:track:1xlyVmdCo5lMRIzuMlAUF7,https://api.spotify.com/v1/tracks/1xlyVmdCo5lMRIzuMlAUF7,https://api.spotify.com/v1/audio-analysis/1xlyVmdCo5lMRIzuMlAUF7,147413,4
0.347,0.177,0,-15.365,1,0.0326,0.849,0.00231,0.113,0.444,196.501,audio_features,71keN33KR0rS5jwKi4JNLE,spotify:track:71keN33KR0rS5jwKi4JNLE,https://api.spotify.com/v1/tracks/71keN33KR0rS5jwKi4JNLE,https://api.spotify.com/v1/audio-analysis/71keN33KR0rS5jwKi4JNLE,227624,3
