id,song_name,artist,pic_url,preview_url,release_year
7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,Bonnie Tyler,https://i.scdn.co/image/ab67616d0000b2738cefe8e2f2cfd63ce073fa96,https://p.scdn.co/mp3-preview/42af1cbc20498d5e7de081f39b218ab035c9a57a?cid=f4f54a850da14f27a6e2b44603fe8013,2009
3BpFrWs5RF8DY8BpI6a8aJ,Rasputin - Single Version,Boney M.,https://i.scdn.co/image/ab67616d0000b2732e5be311d756d9e70498f9c3,https://p.scdn.co/mp3-preview/4c2163366e285967cc1e6abfa2ca16df92c83efd?cid=f4f54a850da14f27a6e2b44603fe8013,1993
5XE8c07vbpQBUriwybOHtd,Have You Ever Seen The Rain,Creedence Clearwater Revival,https://i.scdn.co/image/ab67616d0000b2735b18abb5facf12c82192bda7,,1976
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,Europe,https://i.scdn.co/image/ab67616d0000b2732d925cec3072ed1b74e5188f,https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=f4f54a850da14f27a6e2b44603fe8013,1986
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=f4f54a850da14f27a6e2b44603fe8013,1982
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7,,1979
7F8JbSCPBXm3IxMx2UMMhH,Eye of the Tiger,Survivor,https://i.scdn.co/image/ab67616d0000b27327f6ab1746737ae97c94a617,https://p.scdn.co/mp3-preview/60bb6e304d5ea2654ed3e020c4a782ff6f9f919a?cid=f4f54a850da14f27a6e2b44603fe8013,2014
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d,https://p.scdn.co/mp3-preview/e26c1dde2d9a44315124580cfbe6636f4aab1e22?cid=f4f54a850da14f27a6e2b44603fe8013,2012
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=f4f54a850da14f27a6e2b44603fe8013,1983
4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,Richard Marx,https://i.scdn.co/image/ab67616d0000b273edc27582d8f5c3a7c56893bf,,1989
4LOgi2TAAoKU9ImfzRrCPO,Heaven,Bryan Adams,https://i.scdn.co/image/ab67616d0000b273d0b17cab0d1a584d55ded42f,,1984
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,Foreigner,https://i.scdn.co/image/ab67616d0000b2733e030a7e606959674643d274,https://p.scdn.co/mp3-preview/23f9b7ad0a9008aca1017cce9b5ba375b322ac8b?cid=f4f54a850da14f27a6e2b44603fe8013,1984
0wQy2OO7jKjm0OOmA7gv3f,Thriller - 2003 Edit,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2735dfb1bcbc7c58c52c9e5c0be,https://p.scdn.co/mp3-preview/4514cc259ca59b2b57b818058e69de433fba4272?cid=f4f54a850da14f27a6e2b44603fe8013,1979
6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,https://i.scdn.co/image/ab67616d0000b2739f42645526f8bdfcb935998d,https://p.scdn.co/mp3-preview/361fd8946cd20110a0267af87ef5b98ac1c6e7a9?cid=f4f54a850da14f27a6e2b44603fe8013,1990
1hZJcuz9iMoz6tLkFlIaUy,Take My Breath Away,Berlin,https://i.scdn.co/image/ab67616d0000b273ac921109d9362e95c961955f,https://p.scdn.co/mp3-preview/d9097d36297ed7375a619b3111cef8ad192ea4cc?cid=f4f54a850da14f27a6e2b44603fe8013,2007
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,https://p.scdn.co/mp3-preview/81e64fa3a306418f6bb51325a93df0c75ea50d42?cid=f4f54a850da14f27a6e2b44603fe8013,1980
0a4agFmqHXxcZl1nho1BxM,Heart Of Glass - Special Mix,Blondie,https://i.scdn.co/image/ab67616d0000b2738cf86a9be38868f1d73cdb58,,1981
0Zn63G0XTiqXwr1KSmARWz,"You're My Heart, You're My Soul",Modern Talking,https://i.scdn.co/image/ab67616d0000b27399aab0b95eb4bb1e7e24c795,https://p.scdn.co/mp3-preview/63333ed52db8ae4231a333baacd81be084bebde7?cid=f4f54a850da14f27a6e2b44603fe8013,1985
7f1X6tauagdeqpfNuNOYWr,Have You Ever Seen The Rain,Rod Stewart,https://i.scdn.co/image/ab67616d0000b273873a4f8ba9a77d4393ce58c7,https://p.scdn.co/mp3-preview/6ddab3743f58e1c556ff07dd7ffe540adaaa1d28?cid=f4f54a850da14f27a6e2b44603fe8013,2006
5ubvP9oKmxLUVq506fgLhk,Stayin Alive,Bee Gees,https://i.scdn.co/image/ab67616d0000b273bdcea025a483b9642f17a9f8,,2020
2W2ieVidLIx9TDvxu0ZT6F,The Best - Edit,Tina Turner,https://i.scdn.co/image/ab67616d0000b273885426f7a6ef11b1cd483279,https://p.scdn.co/mp3-preview/d455101ffc8c26f7e6d0b84b813e20cb41be0138?cid=f4f54a850da14f27a6e2b44603fe8013,1991
06rPFgQsKS607RhYIqCmGq,September,"Earth, Wind & Fire",https://i.scdn.co/image/ab67616d0000b273bbc51eaf2f41efd54e44bc93,,2013
3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec,,1979
78His8pbKjbDQF7aX5asgv,Rivers of Babylon,Boney M.,https://i.scdn.co/image/ab67616d0000b2739e77d65619f80436b5cc9d12,https://p.scdn.co/mp3-preview/addfdddfafa878b2cc807d7a1f171400e0e10d91?cid=f4f54a850da14f27a6e2b44603fe8013,1978
2wSAWEYUHkt92X4SBAPqZE,Karma Chameleon - Remastered 2002,Culture Club,https://i.scdn.co/image/ab67616d0000b273c7d7cdad0c2ffa5620129ee8,,1983
3Ud6fFep5ZlXzRWw6Sm8no,Walk Of Life,Dire Straits,https://i.scdn.co/image/ab67616d0000b273995239a0e35a898037ec4b29,,1985
294uLZvse9DtrkOI055qrC,Self Control,Laura Branigan,https://i.scdn.co/image/ab67616d0000b27350a05e28731e07011a7e060d,https://p.scdn.co/mp3-preview/2474378c5886a8a91e1fc3d766567290e9aa2a9d?cid=f4f54a850da14f27a6e2b44603fe8013,2020
1NCuYqMc8hKMb4cpNTcJbD,Another Day in Paradise - 2016 Remaster,Phil Collins,https://i.scdn.co/image/ab67616d0000b273fb2daafa0993f39d87a84385,https://p.scdn.co/mp3-preview/6e86a5698f1165e5ffa7a537e4f19018e0e10eb4?cid=f4f54a850da14f27a6e2b44603fe8013,1989
0YPXkQthLWrhNGoKTbwCJ8,(I Just) Died In Your Arms,Cutting Crew,https://i.scdn.co/image/ab67616d0000b273b44a04404923d0361d8f8299,,1993
6qI1KfY3nomDW1s0BrUInE,Eyes Without A Face - 1999 - Remaster,Billy Idol,https://i.scdn.co/image/ab67616d0000b273c478033ba2a24f04692dfd06,,1983
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266,https://p.scdn.co/mp3-preview/f7b88f49127f9d414e8f4c0cbbe190648cf3cf9b?cid=f4f54a850da14f27a6e2b44603fe8013,1981
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,https://p.scdn.co/mp3-preview/30d63954de3ee9c0bc3600a4560260cb252d4fbd?cid=f4f54a850da14f27a6e2b44603fe8013,1977
5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,Queen,https://i.scdn.co/image/ab67616d0000b2737c39dd133836c2c1c87e34d6,,1978
00oWrQTc4y7TvvyoT2hpeB,B.O.A.T,K.O,https://i.scdn.co/image/ab67616d0000b27364c0f8d59d6b36ad5e55eaee,https://p.scdn.co/mp3-preview/8e03443c1d12f683cfaf524105397cfe2097687a?cid=f4f54a850da14f27a6e2b44603fe8013,2022
1jzDzZWeSDBg5fhNc3tczV,Paranoid,Black Sabbath,https://i.scdn.co/image/ab67616d0000b2739683e5d7361bb80bfb00f46d,,1970
01MXkFA8sL7at6txavDErt,Making Love Out of Nothing at All,Air Supply,https://i.scdn.co/image/ab67616d0000b2733a9106f940fb04bc98a2b95e,https://p.scdn.co/mp3-preview/23f0c8484fe36ddbf410b7df9103d228acb08e59?cid=f4f54a850da14f27a6e2b44603fe8013,2018
7D5n2kpYH2WSqIyEO9MeXf,Patience,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b273d2c9d673548c12ad1c32e38d,,1988
1jyKRuaRzjZdfYL72autvr,Don't You (Forget About Me) - Remastered 2001,Simple Minds,https://i.scdn.co/image/ab67616d0000b27331471c2cb78c30ec1f95b73f,,2019
5zWZ9iNevP0397xB3jWV2z,Brother Louie,Modern Talking,https://i.scdn.co/image/ab67616d0000b273be1421122cef4940f500ac06,https://p.scdn.co/mp3-preview/b234d26fad553ad8aee6d114b01d862b9c95e92c?cid=f4f54a850da14f27a6e2b44603fe8013,1986
