danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.444,0.412,0,-11.569,1,0.0465,0.895,0.64,0.145,0.351,184.012,audio_features,1u1PzGnsWKjAwSZ9Rg1kjD,spotify:track:1u1PzGnsWKjAwSZ9Rg1kjD,https://api.spotify.com/v1/tracks/1u1PzGnsWKjAwSZ9Rg1kjD,https://api.spotify.com/v1/audio-analysis/1u1PzGnsWKjAwSZ9Rg1kjD,151092,3
0.524,0.177,8,-12.306,1,0.0302,0.865,0,0.21,0.466,69.125,audio_features,11XR0tRT4g5ov4u8M92wbF,spotify:track:11XR0tRT4g5ov4u8M92wbF,https://api.spotify.com/v1/tracks/11XR0tRT4g5ov4u8M92wbF,https://api.spotify.com/v1/audio-analysis/11XR0tRT4g5ov4u8M92wbF,179427,4
0.258,0.267,0,-10.775,1,0.0319,0.908,0.00215,0.192,0.464,77.371,audio_features,0uz8zYeARZceA2Fq5bPR0Q,spotify:track:0uz8zYeARZceA2Fq5bPR0Q,https://api.spotify.com/v1/tracks/0uz8zYeARZceA2Fq5bPR0Q,https://api.spotify.com/v1/audio-analysis/0uz8zYeARZceA2Fq5bPR0Q,205597,4
0.492,0.0671,10,-15.671,0,0.0399,0.958,0.000968,0.109,0.165,124.908,audio_features,1xlyVmdCo5lMRIzuMlAUF7,spotify:track:1xlyVmdCo5lMRIzuMlAUF7,https://api.spotify.com/v1/tracks/1xlyVmdCo5lMRIzuMlAUF7,https://api.spotify.com/v1/audio-analysis/1xlyVmdCo5lMRIzuMlAUF7,147413,4
0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,audio_features,648TTtYB0bH0P8Hfy0FmkL,spotify:track:648TTtYB0bH0P8Hfy0FmkL,https://api.spotify.com/v1/tracks/648TTtYB0bH0P8Hfy0FmkL,https://api.spotify.com/v1/audio-analysis/648TTtYB0bH0P8Hfy0FmkL,191973,3
0.216,0.267,8,-13.561,1,0.0351,0.876,0.000027,0.109,0.218,82.098,audio_features,4uxsv9PjV3Yeyn51RdWvGJ,spotify:track:4uxsv9PjV3Yeyn51RdWvGJ,https://api.spotify.com/v1/tracks/4uxsv9PjV3Yeyn51RdWvGJ,https://api.spotify.com/v1/audio-analysis/4uxsv9PjV3Yeyn51RdWvGJ,216573,4
0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,audio_features,3YdKJzcoMZMacISlpY4QoP,spotify:track:3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/tracks/3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/audio-analysis/3YdKJzcoMZMacISlpY4QoP,202773,3
0.302,0.308,2,-12.582,0,0.0367,0.54,0,0.15,0.533,39.457,audio_features,6bndZhdajob635XAk15INL,spotify:track:6bndZhdajob635XAk15INL,https://api.spotify.com/v1/tracks/6bndZhdajob635XAk15INL,https://api.spotify.com/v1/audio-analysis/6bndZhdajob635XAk15INL,158867,4
0.376,0.246,10,-9.803,1,0.0286,0.862,0,0.155,0.282,80.167,audio_features,4QelFzhVgLomeQhvKrwM1S,spotify:track:4QelFzhVgLomeQhvKrwM1S,https://api.spotify.com/v1/tracks/4QelFzhVgLomeQhvKrwM1S,https://api.spotify.com/v1/audio-analysis/4QelFzhVgLomeQhvKrwM1S,168093,1
0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008,audio_features,4hHbeIIKO5Y5uLyIEbY9Gn,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/audio-analysis/4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
0.39,0.46,9,-8.711,0,0.0455,0.803,0,0.102,0.694,147.335,audio_features,3H8Sn0mYsZMPPlMCbebOJ5,spotify:track:3H8Sn0mYsZMPPlMCbebOJ5,https://api.spotify.com/v1/tracks/3H8Sn0mYsZMPPlMCbebOJ5,https://api.spotify.com/v1/audio-analysis/3H8Sn0mYsZMPPlMCbebOJ5,155333,4
0.358,0.525,0,-10.077,1,0.0356,0.473,0,0.167,0.891,71.257,audio_features,5UvR3VWxfVVKMgGrD3XZVj,spotify:track:5UvR3VWxfVVKMgGrD3XZVj,https://api.spotify.com/v1/tracks/5UvR3VWxfVVKMgGrD3XZVj,https://api.spotify.com/v1/audio-analysis/5UvR3VWxfVVKMgGrD3XZVj,138667,4
0.644,0.533,4,-11.606,1,0.0566,0.322,0,0.0781,0.79,112.16,audio_features,1EWUFMTwyqAzb1p9KFnt02,spotify:track:1EWUFMTwyqAzb1p9KFnt02,https://api.spotify.com/v1/tracks/1EWUFMTwyqAzb1p9KFnt02,https://api.spotify.com/v1/audio-analysis/1EWUFMTwyqAzb1p9KFnt02,153667,4
0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,audio_features,6jX5mso4x00c1EiNMrTU9U,spotify:track:6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/tracks/6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/audio-analysis/6jX5mso4x00c1EiNMrTU9U,148040,4
0.62,0.387,10,-10.517,0,0.297,0.841,0,0.0716,0.438,140.186,audio_features,22SAmkmY0q6MYeSVCalBSB,spotify:track:22SAmkmY0q6MYeSVCalBSB,https://api.spotify.com/v1/tracks/22SAmkmY0q6MYeSVCalBSB,https://api.spotify.com/v1/audio-analysis/22SAmkmY0q6MYeSVCalBSB,186707,3
0.609,0.794,3,-4.739,1,0.0389,0.734,0.0000618,0.0479,0.968,136.036,audio_features,3nUrhP3KuK4R1qdxRk2Kgo,spotify:track:3nUrhP3KuK4R1qdxRk2Kgo,https://api.spotify.com/v1/tracks/3nUrhP3KuK4R1qdxRk2Kgo,https://api.spotify.com/v1/audio-analysis/3nUrhP3KuK4R1qdxRk2Kgo,133747,4
0.588,0.306,1,-13.491,0,0.0418,0.859,0.000345,0.123,0.471,112.264,audio_features,5HhODl6Rl3nDulwv7S4Iyn,spotify:track:5HhODl6Rl3nDulwv7S4Iyn,https://api.spotify.com/v1/tracks/5HhODl6Rl3nDulwv7S4Iyn,https://api.spotify.com/v1/audio-analysis/5HhODl6Rl3nDulwv7S4Iyn,239907,3
0.483,0.579,5,-13.923,1,0.116,0.481,0.00141,0.242,0.891,122.527,audio_features,2hEwjc5DZVPcC4cVVBuMr5,spotify:track:2hEwjc5DZVPcC4cVVBuMr5,https://api.spotify.com/v1/tracks/2hEwjc5DZVPcC4cVVBuMr5,https://api.spotify.com/v1/audio-analysis/2hEwjc5DZVPcC4cVVBuMr5,140680,4
0.445,0.146,5,-16.064,1,0.0333,0.962,0.0000105,0.249,0.332,86.637,audio_features,777zXDJpBufzttU4AJ2dGO,spotify:track:777zXDJpBufzttU4AJ2dGO,https://api.spotify.com/v1/tracks/777zXDJpBufzttU4AJ2dGO,https://api.spotify.com/v1/audio-analysis/777zXDJpBufzttU4AJ2dGO,181067,4
0.503,0.059,9,-16.131,1,0.0497,0.973,0,0.103,0.331,76.642,audio_features,20G1XJaTwIm2IuwA3Pjg1d,spotify:track:20G1XJaTwIm2IuwA3Pjg1d,https://api.spotify.com/v1/tracks/20G1XJaTwIm2IuwA3Pjg1d,https://api.spotify.com/v1/audio-analysis/20G1XJaTwIm2IuwA3Pjg1d,169067,4
0.51,0.484,10,-6.942,1,0.038,0.784,0,0.306,0.683,103.356,audio_features,1Qn5jElT7XqjvVeJ8pYM2w,spotify:track:1Qn5jElT7XqjvVeJ8pYM2w,https://api.spotify.com/v1/tracks/1Qn5jElT7XqjvVeJ8pYM2w,https://api.spotify.com/v1/audio-analysis/1Qn5jElT7XqjvVeJ8pYM2w,140773,3
0.506,0.18,0,-12.184,1,0.0443,0.908,0.00000235,0.0652,0.665,161.51,audio_features,5qWXXF3On2xUfVu1ND1NLN,spotify:track:5qWXXF3On2xUfVu1ND1NLN,https://api.spotify.com/v1/tracks/5qWXXF3On2xUfVu1ND1NLN,https://api.spotify.com/v1/audio-analysis/5qWXXF3On2xUfVu1ND1NLN,198107,4
0.495,0.0209,3,-21.329,1,0.0348,0.981,0.00000113,0.0753,0.145,62.588,audio_features,0qB213IfGN0JXXm9aRjldF,spotify:track:0qB213IfGN0JXXm9aRjldF,https://api.spotify.com/v1/tracks/0qB213IfGN0JXXm9aRjldF,https://api.spotify.com/v1/audio-analysis/0qB213IfGN0JXXm9aRjldF,167907,4
0.508,0.488,6,-9.486,1,0.0336,0.867,0,0.272,0.6,100.444,audio_features,3hy4WKSFmCsyQbwAgPixMc,spotify:track:3hy4WKSFmCsyQbwAgPixMc,https://api.spotify.com/v1/tracks/3hy4WKSFmCsyQbwAgPixMc,https://api.spotify.com/v1/audio-analysis/3hy4WKSFmCsyQbwAgPixMc,133880,3
0.414,0.148,7,-13.059,0,0.0387,0.92,0.00000136,0.202,0.289,65.673,audio_features,2RG22MnkRzrPNAyc0eFn8w,spotify:track:2RG22MnkRzrPNAyc0eFn8w,https://api.spotify.com/v1/tracks/2RG22MnkRzrPNAyc0eFn8w,https://api.spotify.com/v1/audio-analysis/2RG22MnkRzrPNAyc0eFn8w,186960,4
0.236,0.173,6,-13.844,1,0.0319,0.928,0.000623,0.239,0.279,82.342,audio_features,5j9HUr2izjXctYvgKF4GoW,spotify:track:5j9HUr2izjXctYvgKF4GoW,https://api.spotify.com/v1/tracks/5j9HUr2izjXctYvgKF4GoW,https://api.spotify.com/v1/audio-analysis/5j9HUr2izjXctYvgKF4GoW,176973,4
0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,4smkJW6uzoHxGReZqqwHS5,spotify:track:4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/tracks/4smkJW6uzoHxGReZqqwHS5,https://api.spotify.com/v1/audio-analysis/4smkJW6uzoHxGReZqqwHS5,211533,3
0.586,0.228,10,-15.455,1,0.0488,0.589,0,0.236,0.64,139.536,audio_features,0wpABKseNwvrzCRrCjg4zF,spotify:track:0wpABKseNwvrzCRrCjg4zF,https://api.spotify.com/v1/tracks/0wpABKseNwvrzCRrCjg4zF,https://api.spotify.com/v1/audio-analysis/0wpABKseNwvrzCRrCjg4zF,131227,5
0.421,0.285,2,-9.43,0,0.0293,0.829,0.00000155,0.233,0.402,85.861,audio_features,0zGLlXbHlrAyBN1x6sY0rb,spotify:track:0zGLlXbHlrAyBN1x6sY0rb,https://api.spotify.com/v1/tracks/0zGLlXbHlrAyBN1x6sY0rb,https://api.spotify.com/v1/audio-analysis/0zGLlXbHlrAyBN1x6sY0rb,196133,4
0.559,0.0973,8,-16.264,1,0.0463,0.986,0.000104,0.155,0.212,68.3,audio_features,78MIFwIW5oUNdaL6Sj8hTB,spotify:track:78MIFwIW5oUNdaL6Sj8hTB,https://api.spotify.com/v1/tracks/78MIFwIW5oUNdaL6Sj8hTB,https://api.spotify.com/v1/audio-analysis/78MIFwIW5oUNdaL6Sj8hTB,174867,3
0.587,0.098,10,-15.196,0,0.0607,0.958,0.000007,0.114,0.288,71.523,audio_features,6o5RbQYhmF4yRRw7ZArxGL,spotify:track:6o5RbQYhmF4yRRw7ZArxGL,https://api.spotify.com/v1/tracks/6o5RbQYhmF4yRRw7ZArxGL,https://api.spotify.com/v1/audio-analysis/6o5RbQYhmF4yRRw7ZArxGL,224333,4
0.344,0.108,5,-16.631,1,0.0475,0.971,0,0.0961,0.263,61.188,audio_features,0gE63HwMeWgK30ONO4witM,spotify:track:0gE63HwMeWgK30ONO4witM,https://api.spotify.com/v1/tracks/0gE63HwMeWgK30ONO4witM,https://api.spotify.com/v1/audio-analysis/0gE63HwMeWgK30ONO4witM,423493,4
0.574,0.507,6,-11.343,1,0.0258,0.228,0.00000457,0.279,0.514,101.085,audio_features,5ZoDwIP1ntHwciLjydJ8X2,spotify:track:5ZoDwIP1ntHwciLjydJ8X2,https://api.spotify.com/v1/tracks/5ZoDwIP1ntHwciLjydJ8X2,https://api.spotify.com/v1/audio-analysis/5ZoDwIP1ntHwciLjydJ8X2,173307,4
0.468,0.418,1,-13.067,1,0.0297,0.198,0,0.333,0.757,99.125,audio_features,6ldnKaF2UYpOtmpOAOwlQe,spotify:track:6ldnKaF2UYpOtmpOAOwlQe,https://api.spotify.com/v1/tracks/6ldnKaF2UYpOtmpOAOwlQe,https://api.spotify.com/v1/audio-analysis/6ldnKaF2UYpOtmpOAOwlQe,148707,4
0.154,0.215,1,-15.413,1,0.0346,0.676,0.00146,0.112,0.115,166.209,audio_features,6s6h2XK7Nl8lEcTzr7ezeB,spotify:track:6s6h2XK7Nl8lEcTzr7ezeB,https://api.spotify.com/v1/tracks/6s6h2XK7Nl8lEcTzr7ezeB,https://api.spotify.com/v1/audio-analysis/6s6h2XK7Nl8lEcTzr7ezeB,190773,3
