danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.754,0.54,5,-8.326,1,0.0266,0.687,0.0000751,0.0868,0.79,101.738,audio_features,1Vw5YUBbtlUmkhEnee55Zo,spotify:track:1Vw5YUBbtlUmkhEnee55Zo,https://api.spotify.com/v1/tracks/1Vw5YUBbtlUmkhEnee55Zo,https://api.spotify.com/v1/audio-analysis/1Vw5YUBbtlUmkhEnee55Zo,168554,4
0.533,0.729,7,-7.227,0,0.0714,0.563,0,0.159,0.884,78.67,audio_features,64VP3skE86iTvdOlbzuIcO,spotify:track:64VP3skE86iTvdOlbzuIcO,https://api.spotify.com/v1/tracks/64VP3skE86iTvdOlbzuIcO,https://api.spotify.com/v1/audio-analysis/64VP3skE86iTvdOlbzuIcO,111536,4
0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,audio_features,64Ny7djQ6rNJspquof2KoX,spotify:track:64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/tracks/64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/audio-analysis/64Ny7djQ6rNJspquof2KoX,136027,4
0.587,0.221,9,-9.937,1,0.0297,0.709,0,0.309,0.701,137.663,audio_features,5qYp7YDkLAaSd1nBWejkAD,spotify:track:5qYp7YDkLAaSd1nBWejkAD,https://api.spotify.com/v1/tracks/5qYp7YDkLAaSd1nBWejkAD,https://api.spotify.com/v1/audio-analysis/5qYp7YDkLAaSd1nBWejkAD,152867,4
0.654,0.452,2,-9.709,1,0.03,0.835,0.0000289,0.16,0.691,106.662,audio_features,4f8hBeMXMvssn6HtFAtblo,spotify:track:4f8hBeMXMvssn6HtFAtblo,https://api.spotify.com/v1/tracks/4f8hBeMXMvssn6HtFAtblo,https://api.spotify.com/v1/audio-analysis/4f8hBeMXMvssn6HtFAtblo,259307,3
0.709,0.62,2,-9.382,1,0.034,0.318,0,0.0426,0.936,93.723,audio_features,11fNLqDB47gMKj7BHhR2Qr,spotify:track:11fNLqDB47gMKj7BHhR2Qr,https://api.spotify.com/v1/tracks/11fNLqDB47gMKj7BHhR2Qr,https://api.spotify.com/v1/audio-analysis/11fNLqDB47gMKj7BHhR2Qr,123520,4
0.757,0.196,0,-15.395,1,0.0386,0.809,0,0.14,0.813,90.305,audio_features,7E8nKMtXMqIQbvl1Ta9Ucw,spotify:track:7E8nKMtXMqIQbvl1Ta9Ucw,https://api.spotify.com/v1/tracks/7E8nKMtXMqIQbvl1Ta9Ucw,https://api.spotify.com/v1/audio-analysis/7E8nKMtXMqIQbvl1Ta9Ucw,154667,4
0.777,0.36,7,-9.966,1,0.0401,0.805,0,0.0756,0.887,140.962,audio_features,0deAIqyKFFw55JDMGWTcdA,spotify:track:0deAIqyKFFw55JDMGWTcdA,https://api.spotify.com/v1/tracks/0deAIqyKFFw55JDMGWTcdA,https://api.spotify.com/v1/audio-analysis/0deAIqyKFFw55JDMGWTcdA,176893,4
0.693,0.324,11,-15.085,1,0.205,0.796,0,0.246,0.382,144.14,audio_features,3P6OwCX7Ofiaaqtvujb6i5,spotify:track:3P6OwCX7Ofiaaqtvujb6i5,https://api.spotify.com/v1/tracks/3P6OwCX7Ofiaaqtvujb6i5,https://api.spotify.com/v1/audio-analysis/3P6OwCX7Ofiaaqtvujb6i5,158307,4
0.726,0.474,1,-7.834,0,0.0491,0.803,0,0.258,0.57,116.027,audio_features,0AQquaENerGps8BQmbPw14,spotify:track:0AQquaENerGps8BQmbPw14,https://api.spotify.com/v1/tracks/0AQquaENerGps8BQmbPw14,https://api.spotify.com/v1/audio-analysis/0AQquaENerGps8BQmbPw14,235733,4
