danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.876,0.487,7,-6.454,1,0.0926,0.102,0,0.228,0.667,103.074,audio_features,3ku4ScVEkZvurrcjmMrOAL,spotify:track:3ku4ScVEkZvurrcjmMrOAL,https://api.spotify.com/v1/tracks/3ku4ScVEkZvurrcjmMrOAL,https://api.spotify.com/v1/audio-analysis/3ku4ScVEkZvurrcjmMrOAL,200600,4
0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,audio_features,5p9XWUdvbUzmPCukOmwoU3,spotify:track:5p9XWUdvbUzmPCukOmwoU3,https://api.spotify.com/v1/tracks/5p9XWUdvbUzmPCukOmwoU3,https://api.spotify.com/v1/audio-analysis/5p9XWUdvbUzmPCukOmwoU3,201707,4
0.421,0.799,6,-5.183,0,0.0562,0.00871,0.0000163,0.0794,0.731,82.408,audio_features,4T4NLIMypdmyUwK54jECk4,spotify:track:4T4NLIMypdmyUwK54jECk4,https://api.spotify.com/v1/tracks/4T4NLIMypdmyUwK54jECk4,https://api.spotify.com/v1/audio-analysis/4T4NLIMypdmyUwK54jECk4,221720,4
0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,audio_features,2qLMf6TuEC3ruGJg4SMMN6,spotify:track:2qLMf6TuEC3ruGJg4SMMN6,https://api.spotify.com/v1/tracks/2qLMf6TuEC3ruGJg4SMMN6,https://api.spotify.com/v1/audio-analysis/2qLMf6TuEC3ruGJg4SMMN6,189613,4
0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,audio_features,6FLwmdmW77N1Pxb1aWsZmO,spotify:track:6FLwmdmW77N1Pxb1aWsZmO,https://api.spotify.com/v1/tracks/6FLwmdmW77N1Pxb1aWsZmO,https://api.spotify.com/v1/audio-analysis/6FLwmdmW77N1Pxb1aWsZmO,218547,4
0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,audio_features,1BV0m40U0M4t1SLIsDnwZl,spotify:track:1BV0m40U0M4t1SLIsDnwZl,https://api.spotify.com/v1/tracks/1BV0m40U0M4t1SLIsDnwZl,https://api.spotify.com/v1/audio-analysis/1BV0m40U0M4t1SLIsDnwZl,280027,4
0.581,0.681,7,-4.469,1,0.0435,0.0472,0,0.104,0.634,176.034,audio_features,4nTjkWK590oBDcnIxTr1mI,spotify:track:4nTjkWK590oBDcnIxTr1mI,https://api.spotify.com/v1/tracks/4nTjkWK590oBDcnIxTr1mI,https://api.spotify.com/v1/audio-analysis/4nTjkWK590oBDcnIxTr1mI,256800,4
0.645,0.921,6,-5.256,0,0.0302,0.00809,0.0000108,0.407,0.864,129,audio_features,2sFp6E7lNBbblJGmUtCfFH,spotify:track:2sFp6E7lNBbblJGmUtCfFH,https://api.spotify.com/v1/tracks/2sFp6E7lNBbblJGmUtCfFH,https://api.spotify.com/v1/audio-analysis/2sFp6E7lNBbblJGmUtCfFH,186440,4
0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,audio_features,7zMcNqs55Mxer82bvZFkpg,spotify:track:7zMcNqs55Mxer82bvZFkpg,https://api.spotify.com/v1/tracks/7zMcNqs55Mxer82bvZFkpg,https://api.spotify.com/v1/audio-analysis/7zMcNqs55Mxer82bvZFkpg,203040,4
0.539,0.809,10,-8.851,0,0.0683,0.114,0.0000102,0.0715,0.724,95.631,audio_features,4o2d25zcVbx5BEaHcKbtOI,spotify:track:4o2d25zcVbx5BEaHcKbtOI,https://api.spotify.com/v1/tracks/4o2d25zcVbx5BEaHcKbtOI,https://api.spotify.com/v1/audio-analysis/4o2d25zcVbx5BEaHcKbtOI,317000,4
0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,audio_features,5lUTzPuiloBHm1qEaJcJfF,spotify:track:5lUTzPuiloBHm1qEaJcJfF,https://api.spotify.com/v1/tracks/5lUTzPuiloBHm1qEaJcJfF,https://api.spotify.com/v1/audio-analysis/5lUTzPuiloBHm1qEaJcJfF,194213,4
0.7,0.62,2,-9.36,1,0.0797,0.0175,0.0000033,0.0891,0.739,173.998,audio_features,2oHsYkh2Vc9OXRyLXLUinC,spotify:track:2oHsYkh2Vc9OXRyLXLUinC,https://api.spotify.com/v1/tracks/2oHsYkh2Vc9OXRyLXLUinC,https://api.spotify.com/v1/audio-analysis/2oHsYkh2Vc9OXRyLXLUinC,240893,4
0.437,0.589,4,-4.834,1,0.0331,0.231,0,0.0768,0.165,133.631,audio_features,0CnD7Hiw6pae6rLsZw5q5W,spotify:track:0CnD7Hiw6pae6rLsZw5q5W,https://api.spotify.com/v1/tracks/0CnD7Hiw6pae6rLsZw5q5W,https://api.spotify.com/v1/audio-analysis/0CnD7Hiw6pae6rLsZw5q5W,239587,4
