danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.712,0.63,9,-6.202,1,0.0299,0.257,0.0000665,0.0999,0.768,118.378,audio_features,1nVoLxz8C0uGgMKfywy0vf,spotify:track:1nVoLxz8C0uGgMKfywy0vf,https://api.spotify.com/v1/tracks/1nVoLxz8C0uGgMKfywy0vf,https://api.spotify.com/v1/audio-analysis/1nVoLxz8C0uGgMKfywy0vf,204627,4
0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,audio_features,1ipcb9qXpSHWhSUvdxJhsx,spotify:track:1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/tracks/1ipcb9qXpSHWhSUvdxJhsx,https://api.spotify.com/v1/audio-analysis/1ipcb9qXpSHWhSUvdxJhsx,212640,4
0.657,0.639,10,-7.527,1,0.0412,0.581,0,0.278,0.674,124.882,audio_features,6sxptembJVty4sNtcPMAVz,spotify:track:6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/tracks/6sxptembJVty4sNtcPMAVz,https://api.spotify.com/v1/audio-analysis/6sxptembJVty4sNtcPMAVz,234493,4
0.507,0.85,5,-5.679,1,0.0472,0.378,0,0.0567,0.847,171.8,audio_features,6leiB1fEsTnVCuPiielde5,spotify:track:6leiB1fEsTnVCuPiielde5,https://api.spotify.com/v1/tracks/6leiB1fEsTnVCuPiielde5,https://api.spotify.com/v1/audio-analysis/6leiB1fEsTnVCuPiielde5,183733,4
0.607,0.815,4,-6.619,1,0.039,0.0471,0.0000281,0.111,0.57,136.949,audio_features,6Lmx6bz3PGYuNSjKMnYBOa,spotify:track:6Lmx6bz3PGYuNSjKMnYBOa,https://api.spotify.com/v1/tracks/6Lmx6bz3PGYuNSjKMnYBOa,https://api.spotify.com/v1/audio-analysis/6Lmx6bz3PGYuNSjKMnYBOa,209760,4
0.708,0.524,5,-12.644,1,0.0352,0.0551,0.00000321,0.0371,0.69,111.482,audio_features,6iy4PoAuZBMvtrlDX4VxC7,spotify:track:6iy4PoAuZBMvtrlDX4VxC7,https://api.spotify.com/v1/tracks/6iy4PoAuZBMvtrlDX4VxC7,https://api.spotify.com/v1/audio-analysis/6iy4PoAuZBMvtrlDX4VxC7,200667,4
0.783,0.698,3,-8.268,1,0.0323,0.522,0.00000252,0.0754,0.758,124.996,audio_features,2ulBBx6YQ3qY3ci34RadtN,spotify:track:2ulBBx6YQ3qY3ci34RadtN,https://api.spotify.com/v1/tracks/2ulBBx6YQ3qY3ci34RadtN,https://api.spotify.com/v1/audio-analysis/2ulBBx6YQ3qY3ci34RadtN,248200,4
0.592,0.725,8,-8.698,1,0.0412,0.207,0,0.148,0.784,78.235,audio_features,0pdfN7nOHMYmKykzu1cyfm,spotify:track:0pdfN7nOHMYmKykzu1cyfm,https://api.spotify.com/v1/tracks/0pdfN7nOHMYmKykzu1cyfm,https://api.spotify.com/v1/audio-analysis/0pdfN7nOHMYmKykzu1cyfm,246760,4
0.572,0.449,1,-6.566,1,0.0264,0.314,0,0.0301,0.207,122.632,audio_features,5Pgwi0iizu96RHxJ4xL3SH,spotify:track:5Pgwi0iizu96RHxJ4xL3SH,https://api.spotify.com/v1/tracks/5Pgwi0iizu96RHxJ4xL3SH,https://api.spotify.com/v1/audio-analysis/5Pgwi0iizu96RHxJ4xL3SH,291533,3
0.428,0.51,7,-11.695,0,0.103,0.52,0.00000832,0.105,0.393,169.967,audio_features,2MiXC2LfpsoeUP5RvMGEQ3,spotify:track:2MiXC2LfpsoeUP5RvMGEQ3,https://api.spotify.com/v1/tracks/2MiXC2LfpsoeUP5RvMGEQ3,https://api.spotify.com/v1/audio-analysis/2MiXC2LfpsoeUP5RvMGEQ3,257267,4
0.735,0.488,9,-10.56,1,0.026,0.596,0.0000011,0.0949,0.452,102.383,audio_features,2M38X60UJnupGPbFTkVPNQ,spotify:track:2M38X60UJnupGPbFTkVPNQ,https://api.spotify.com/v1/tracks/2M38X60UJnupGPbFTkVPNQ,https://api.spotify.com/v1/audio-analysis/2M38X60UJnupGPbFTkVPNQ,261227,4
