id,song_name,artist,pic_url,preview_url,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,test,index
1SxtJ1p2EH3TC8dVzDlN33,Drip,Paul Damixie,https://i.scdn.co/image/ab67616d0000b27320b615f0b42408683fb46f42,https://p.scdn.co/mp3-preview/0727cec82261d85c8395afbc269558746fe48e4f?cid=f4f54a850da14f27a6e2b44603fe8013,2023,0.8,0.478,9,-9.16,0,0.0739,0.0209,0.158,0.104,0.556,125.031,audio_features,spotify:track:1SxtJ1p2EH3TC8dVzDlN33,https://api.spotify.com/v1/tracks/1SxtJ1p2EH3TC8dVzDlN33,https://api.spotify.com/v1/audio-analysis/1SxtJ1p2EH3TC8dVzDlN33,151040,4,1,10
0yhDca7Z4TOiEejtAx6R3g,Sacrifice,Elton John,https://i.scdn.co/image/ab67616d0000b273d3a4359de062677ffd7304aa,,1989,0.749,0.414,11,-13.036,0,0.0288,0.0149,0.00344,0.0401,0.465,112.751,audio_features,spotify:track:0yhDca7Z4TOiEejtAx6R3g,https://api.spotify.com/v1/tracks/0yhDca7Z4TOiEejtAx6R3g,https://api.spotify.com/v1/audio-analysis/0yhDca7Z4TOiEejtAx6R3g,305760,4,1,11
74RaktuxaKNMg6xDGQj95S,Everybody Wants To Rule The World,Tears For Fears,https://i.scdn.co/image/ab67616d0000b273283d70358904fa7308b82d60,,2010,0.68,0.864,2,-9.352,1,0.0447,0.396,0.00496,0.0596,0.45,112.087,audio_features,spotify:track:74RaktuxaKNMg6xDGQj95S,https://api.spotify.com/v1/tracks/74RaktuxaKNMg6xDGQj95S,https://api.spotify.com/v1/audio-analysis/74RaktuxaKNMg6xDGQj95S,248587,4,1,12
1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,Queen,https://i.scdn.co/image/ab67616d0000b273a461aa96bd9a8fcd0a492aee,,1975,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,audio_features,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/tracks/1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/audio-analysis/1AhDOtG9vPSOmsWgNW0BEY,354320,4,1,13
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9,https://p.scdn.co/mp3-preview/d8dc4f720786902e4b84fe1130c35bb74398edfa?cid=f4f54a850da14f27a6e2b44603fe8013,1983,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,audio_features,spotify:track:4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/tracks/4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/audio-analysis/4y1LsJpmMti1PfRQV9AWWe,238267,4,1,14
71UL6pUMZUlU2u10gnhqPf,I'm Done,Paul Damixie,https://i.scdn.co/image/ab67616d0000b273bef9b5540757c7eee75c6196,https://p.scdn.co/mp3-preview/6ae399c20c0a3569425f394ad5e1b9d6e5e93c76?cid=f4f54a850da14f27a6e2b44603fe8013,2023,0.679,0.622,2,-7.636,0,0.0487,0.0183,6.81e-05,0.0371,0.281,124.088,audio_features,spotify:track:71UL6pUMZUlU2u10gnhqPf,https://api.spotify.com/v1/tracks/71UL6pUMZUlU2u10gnhqPf,https://api.spotify.com/v1/audio-analysis/71UL6pUMZUlU2u10gnhqPf,174194,4,1,15
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,,1986,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,audio_features,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293,4,1,16
01iyCAUm8EvOFqVWYJ3dVX,Dancing Queen,ABBA,https://i.scdn.co/image/ab67616d0000b2739aa209383c254c9e23e7f909,,1976,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,spotify:track:01iyCAUm8EvOFqVWYJ3dVX,https://api.spotify.com/v1/tracks/01iyCAUm8EvOFqVWYJ3dVX,https://api.spotify.com/v1/audio-analysis/01iyCAUm8EvOFqVWYJ3dVX,230400,4,1,17
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,,1987,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520,4,1,18
3LTMnFa0hhwisyq6ILahyj,Sultans Of Swing,Dire Straits,https://i.scdn.co/image/ab67616d0000b2734b0bf4cad684e0b9edc932ea,,1978,0.731,0.797,5,-9.992,1,0.0309,0.0771,0.0248,0.334,0.933,148.192,audio_features,spotify:track:3LTMnFa0hhwisyq6ILahyj,https://api.spotify.com/v1/tracks/3LTMnFa0hhwisyq6ILahyj,https://api.spotify.com/v1/audio-analysis/3LTMnFa0hhwisyq6ILahyj,348624,4,1,19
4uLU6hMCjMI75M1A2tKUQC,Never Gonna Give You Up,Rick Astley,https://i.scdn.co/image/ab67616d0000b273255e131abc1410833be95673,,1987,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,spotify:track:4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/tracks/4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/audio-analysis/4uLU6hMCjMI75M1A2tKUQC,213573,4,1,20
2vEQ9zBiwbAVXzS2SOxodY,Nothing's Gonna Stop Us Now,Starship,https://i.scdn.co/image/ab67616d0000b2732e6fa92a6e6da0de1289027f,,1987,0.643,0.801,6,-4.921,1,0.0228,0.0298,0.0,0.0719,0.534,95.988,audio_features,spotify:track:2vEQ9zBiwbAVXzS2SOxodY,https://api.spotify.com/v1/tracks/2vEQ9zBiwbAVXzS2SOxodY,https://api.spotify.com/v1/audio-analysis/2vEQ9zBiwbAVXzS2SOxodY,270333,4,1,21
5dRQUolXAVX3BbCiIxmSsf,Your Love,The Outfield,https://i.scdn.co/image/ab67616d0000b27301ed248b4ac01c868e688322,https://p.scdn.co/mp3-preview/70ba0126426a961829911794993a07c520a95d96?cid=f4f54a850da14f27a6e2b44603fe8013,1985,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,audio_features,spotify:track:5dRQUolXAVX3BbCiIxmSsf,https://api.spotify.com/v1/tracks/5dRQUolXAVX3BbCiIxmSsf,https://api.spotify.com/v1/audio-analysis/5dRQUolXAVX3BbCiIxmSsf,221840,4,1,22
2aEuA8PSqLa17Y4hKPj5rr,Cheri Cheri Lady,Modern Talking,https://i.scdn.co/image/ab67616d0000b273aedd9728f5cc4b13ee49e061,https://p.scdn.co/mp3-preview/f62892f987c395c6bc44892ce8f415ab27c7a61e?cid=f4f54a850da14f27a6e2b44603fe8013,1985,0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223,audio_features,spotify:track:2aEuA8PSqLa17Y4hKPj5rr,https://api.spotify.com/v1/tracks/2aEuA8PSqLa17Y4hKPj5rr,https://api.spotify.com/v1/audio-analysis/2aEuA8PSqLa17Y4hKPj5rr,226333,4,1,23
6uIu54tY9Rjwrwk47RxqK9,Come With Me,MIRA,https://i.scdn.co/image/ab67616d0000b273e406291f300356715631c48b,https://p.scdn.co/mp3-preview/ba930b07b1b31200447fd78be4e817999864ea56?cid=f4f54a850da14f27a6e2b44603fe8013,2023,0.769,0.724,3,-7.529,0,0.0575,0.0524,1.71e-06,0.148,0.534,115.045,audio_features,spotify:track:6uIu54tY9Rjwrwk47RxqK9,https://api.spotify.com/v1/tracks/6uIu54tY9Rjwrwk47RxqK9,https://api.spotify.com/v1/audio-analysis/6uIu54tY9Rjwrwk47RxqK9,168701,4,1,24
1OOtq8tRnDM8kG2gqUPjAj,Beat It,Michael Jackson,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,https://p.scdn.co/mp3-preview/174b7bd06c6ddb87d25acec6afc731c6edc9db62?cid=f4f54a850da14f27a6e2b44603fe8013,2008,0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,audio_features,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,258040,4,1,25
7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,Bonnie Tyler,https://i.scdn.co/image/ab67616d0000b2738cefe8e2f2cfd63ce073fa96,https://p.scdn.co/mp3-preview/42af1cbc20498d5e7de081f39b218ab035c9a57a?cid=f4f54a850da14f27a6e2b44603fe8013,2009,0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141,audio_features,spotify:track:7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/tracks/7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/audio-analysis/7wuJGgpTNzbUyn26IOY6rj,267360,4,1,26
3BpFrWs5RF8DY8BpI6a8aJ,Rasputin - Single Version,Boney M.,https://i.scdn.co/image/ab67616d0000b2732e5be311d756d9e70498f9c3,https://p.scdn.co/mp3-preview/4c2163366e285967cc1e6abfa2ca16df92c83efd?cid=f4f54a850da14f27a6e2b44603fe8013,1993,0.778,0.754,9,-11.605,1,0.0364,0.15,0.000196,0.402,0.974,126.507,audio_features,spotify:track:3BpFrWs5RF8DY8BpI6a8aJ,https://api.spotify.com/v1/tracks/3BpFrWs5RF8DY8BpI6a8aJ,https://api.spotify.com/v1/audio-analysis/3BpFrWs5RF8DY8BpI6a8aJ,265733,4,1,27
5XE8c07vbpQBUriwybOHtd,Have You Ever Seen The Rain,Creedence Clearwater Revival,https://i.scdn.co/image/ab67616d0000b2735b18abb5facf12c82192bda7,,1976,0.773,0.543,0,-9.97,1,0.0292,0.093,5.63e-06,0.175,0.802,115.997,audio_features,spotify:track:5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/tracks/5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/audio-analysis/5XE8c07vbpQBUriwybOHtd,160000,4,1,28
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,Europe,https://i.scdn.co/image/ab67616d0000b2732d925cec3072ed1b74e5188f,https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=f4f54a850da14f27a6e2b44603fe8013,1986,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,audio_features,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/audio-analysis/3MrRksHupTVEQ7YbA0FsZK,310333,4,1,29
